zevenyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyodd band 1, zevenyodd band 2
zevenyoddfreqs:, 1, 0, 0, 0, 0, 0, 0.0662772
zevenyoddfreqs:, 2, 0.00980392, 0, 0, 0.00980392, 0.0097758, 0.0669806
zevenyoddfreqs:, 3, 0.0196078, 0, 0, 0.0196078, 0.0195514, 0.0690483
zevenyoddfreqs:, 4, 0.0294118, 0, 0, 0.0294118, 0.0293264, 0.0723639
zevenyoddfreqs:, 5, 0.0392157, 0, 0, 0.0392157, 0.0391007, 0.0767656
zevenyoddfreqs:, 6, 0.0490196, 0, 0, 0.0490196, 0.048874, 0.0820775
zevenyoddfreqs:, 7, 0.0588235, 0, 0, 0.0588235, 0.0586458, 0.0881337
zevenyoddfreqs:, 8, 0.0686275, 0, 0, 0.0686275, 0.068416, 0.0947894
zevenyoddfreqs:, 9, 0.0784314, 0, 0, 0.0784314, 0.078184, 0.101925
zevenyoddfreqs:, 10, 0.0882353, 0, 0, 0.0882353, 0.0879493, 0.109443
zevenyoddfreqs:, 11, 0.0980392, 0, 0, 0.0980392, 0.0977114, 0.117269
zevenyoddfreqs:, 12, 0.107843, 0, 0, 0.107843, 0.10747, 0.125339
zevenyoddfreqs:, 13, 0.117647, 0, 0, 0.117647, 0.117223, 0.133608
zevenyoddfreqs:, 14, 0.127451, 0, 0, 0.127451, 0.12697, 0.142035
zevenyoddfreqs:, 15, 0.137255, 0, 0, 0.137255, 0.13671, 0.15059
zevenyoddfreqs:, 16, 0.147059, 0, 0, 0.147059, 0.14644, 0.159248
zevenyoddfreqs:, 17, 0.156863, 0, 0, 0.156863, 0.156159, 0.167988
zevenyoddfreqs:, 18, 0.166667, 0, 0, 0.166667, 0.165862, 0.176792
zevenyoddfreqs:, 19, 0.176471, 0, 0, 0.176471, 0.175546, 0.185648
zevenyoddfreqs:, 20, 0.186275, 0, 0, 0.186275, 0.185204, 0.194545
zevenyoddfreqs:, 21, 0.196078, 0, 0, 0.196078, 0.194827, 0.203475
zevenyoddfreqs:, 22, 0.205882, 0, 0, 0.205882, 0.204404, 0.212436
zevenyoddfreqs:, 23, 0.215686, 0, 0, 0.215686, 0.213918, 0.221431
zevenyoddfreqs:, 24, 0.22549, 0, 0, 0.22549, 0.223347, 0.230466
zevenyoddfreqs:, 25, 0.235294, 0, 0, 0.235294, 0.232665, 0.239556
zevenyoddfreqs:, 26, 0.245098, 0, 0, 0.245098, 0.241843, 0.248718
zevenyoddfreqs:, 27, 0.254902, 0, 0, 0.254902, 0.250856, 0.257965
zevenyoddfreqs:, 28, 0.264706, 0, 0, 0.264706, 0.259688, 0.267304
zevenyoddfreqs:, 29, 0.27451, 0, 0, 0.27451, 0.268336, 0.27673
zevenyoddfreqs:, 30, 0.284314, 0, 0, 0.284314, 0.276804, 0.286232
zevenyoddfreqs:, 31, 0.294118, 0, 0, 0.294118, 0.285101, 0.295795
zevenyoddfreqs:, 32, 0.303922, 0, 0, 0.303922, 0.293236, 0.305407
zevenyoddfreqs:, 33, 0.313725, 0, 0, 0.313725, 0.301217, 0.315055
zevenyoddfreqs:, 34, 0.323529, 0, 0, 0.323529, 0.309052, 0.324731
zevenyoddfreqs:, 35, 0.333333, 0, 0, 0.333333, 0.316745, 0.33443
zevenyoddfreqs:, 36, 0.343137, 0, 0, 0.343137, 0.324301, 0.344145
zevenyoddfreqs:, 37, 0.352941, 0, 0, 0.352941, 0.331723, 0.353873
zevenyoddfreqs:, 38, 0.362745, 0, 0, 0.362745, 0.339013, 0.363612
zevenyoddfreqs:, 39, 0.372549, 0, 0, 0.372549, 0.346175, 0.373359
zevenyoddfreqs:, 40, 0.382353, 0, 0, 0.382353, 0.353208, 0.383114
zevenyoddfreqs:, 41, 0.392157, 0, 0, 0.392157, 0.360115, 0.392874
zevenyoddfreqs:, 42, 0.401961, 0, 0, 0.401961, 0.366895, 0.402638
zevenyoddfreqs:, 43, 0.411765, 0, 0, 0.411765, 0.373546, 0.412407
zevenyoddfreqs:, 44, 0.421569, 0, 0, 0.421569, 0.380067, 0.422178
zevenyoddfreqs:, 45, 0.431373, 0, 0, 0.431373, 0.386452, 0.431952
zevenyoddfreqs:, 46, 0.441176, 0, 0, 0.441176, 0.39269, 0.441728
zevenyoddfreqs:, 47, 0.45098, 0, 0, 0.45098, 0.398764, 0.451489
zevenyoddfreqs:, 48, 0.460784, 0, 0, 0.460784, 0.404639, 0.450832
zevenyoddfreqs:, 49, 0.470588, 0, 0, 0.470588, 0.410239, 0.446769
zevenyoddfreqs:, 50, 0.480392, 0, 0, 0.480392, 0.415384, 0.442572
zevenyoddfreqs:, 51, 0.490196, 0, 0, 0.490196, 0.419561, 0.43892
zevenyoddfreqs:, 52, 0.5, 0, 0, 0.5, 0.421386, 0.437264
