zoddyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyeven band 1, zoddyeven band 2
zoddyevenfreqs:, 1, 0, 0, 0, 0, 0, 0.066428
zoddyevenfreqs:, 2, 0.00980392, 0, 0, 0.00980392, 0.00978449, 0.0671364
zoddyevenfreqs:, 3, 0.0196078, 0, 0, 0.0196078, 0.0195688, 0.0692181
zoddyevenfreqs:, 4, 0.0294118, 0, 0, 0.0294118, 0.029353, 0.0725547
zoddyevenfreqs:, 5, 0.0392157, 0, 0, 0.0392157, 0.0391367, 0.0769828
zoddyevenfreqs:, 6, 0.0490196, 0, 0, 0.0490196, 0.04892, 0.0823257
zoddyevenfreqs:, 7, 0.0588235, 0, 0, 0.0588235, 0.0587025, 0.088417
zoddyevenfreqs:, 8, 0.0686275, 0, 0, 0.0686275, 0.0684843, 0.0951119
zoddyevenfreqs:, 9, 0.0784314, 0, 0, 0.0784314, 0.0782651, 0.102291
zoddyevenfreqs:, 10, 0.0882353, 0, 0, 0.0882353, 0.0880447, 0.109858
zoddyevenfreqs:, 11, 0.0980392, 0, 0, 0.0980392, 0.0978228, 0.117737
zoddyevenfreqs:, 12, 0.107843, 0, 0, 0.107843, 0.107599, 0.125868
zoddyevenfreqs:, 13, 0.117647, 0, 0, 0.117647, 0.117374, 0.134203
zoddyevenfreqs:, 14, 0.127451, 0, 0, 0.127451, 0.127146, 0.142705
zoddyevenfreqs:, 15, 0.137255, 0, 0, 0.137255, 0.136915, 0.151343
zoddyevenfreqs:, 16, 0.147059, 0, 0, 0.147059, 0.14668, 0.160094
zoddyevenfreqs:, 17, 0.156863, 0, 0, 0.156863, 0.156442, 0.168937
zoddyevenfreqs:, 18, 0.166667, 0, 0, 0.166667, 0.166199, 0.177857
zoddyevenfreqs:, 19, 0.176471, 0, 0, 0.176471, 0.175949, 0.186839
zoddyevenfreqs:, 20, 0.186275, 0, 0, 0.186275, 0.185692, 0.195872
zoddyevenfreqs:, 21, 0.196078, 0, 0, 0.196078, 0.195426, 0.204946
zoddyevenfreqs:, 22, 0.205882, 0, 0, 0.205882, 0.205148, 0.214054
zoddyevenfreqs:, 23, 0.215686, 0, 0, 0.215686, 0.214855, 0.223188
zoddyevenfreqs:, 24, 0.22549, 0, 0, 0.22549, 0.224544, 0.232343
zoddyevenfreqs:, 25, 0.235294, 0, 0, 0.235294, 0.234208, 0.241516
zoddyevenfreqs:, 26, 0.245098, 0, 0, 0.245098, 0.243839, 0.250705
zoddyevenfreqs:, 27, 0.254902, 0, 0, 0.254902, 0.253428, 0.259912
zoddyevenfreqs:, 28, 0.264706, 0, 0, 0.264706, 0.262962, 0.269139
zoddyevenfreqs:, 29, 0.27451, 0, 0, 0.27451, 0.272423, 0.278395
zoddyevenfreqs:, 30, 0.284314, 0, 0, 0.284314, 0.281791, 0.28769
zoddyevenfreqs:, 31, 0.294118, 0, 0, 0.294118, 0.291049, 0.297034
zoddyevenfreqs:, 32, 0.303922, 0, 0, 0.303922, 0.300177, 0.306436
zoddyevenfreqs:, 33, 0.313725, 0, 0, 0.313725, 0.309165, 0.315898
zoddyevenfreqs:, 34, 0.323529, 0, 0, 0.323529, 0.318008, 0.325418
zoddyevenfreqs:, 35, 0.333333, 0, 0, 0.333333, 0.326704, 0.334989
zoddyevenfreqs:, 36, 0.343137, 0, 0, 0.343137, 0.335257, 0.344602
zoddyevenfreqs:, 37, 0.352941, 0, 0, 0.352941, 0.343668, 0.35425
zoddyevenfreqs:, 38, 0.362745, 0, 0, 0.362745, 0.35194, 0.363926
zoddyevenfreqs:, 39, 0.372549, 0, 0, 0.372549, 0.360075, 0.373623
zoddyevenfreqs:, 40, 0.382353, 0, 0, 0.382353, 0.368074, 0.383336
zoddyevenfreqs:, 41, 0.392157, 0, 0, 0.392157, 0.375938, 0.393064
zoddyevenfreqs:, 42, 0.401961, 0, 0, 0.401961, 0.383668, 0.402802
zoddyevenfreqs:, 43, 0.411765, 0, 0, 0.411765, 0.391265, 0.412549
zoddyevenfreqs:, 44, 0.421569, 0, 0, 0.421569, 0.39873, 0.422302
zoddyevenfreqs:, 45, 0.431373, 0, 0, 0.431373, 0.406062, 0.432062
zoddyevenfreqs:, 46, 0.441176, 0, 0, 0.441176, 0.413262, 0.441827
zoddyevenfreqs:, 47, 0.45098, 0, 0, 0.45098, 0.420327, 0.451596
zoddyevenfreqs:, 48, 0.460784, 0, 0, 0.460784, 0.427252, 0.461368
zoddyevenfreqs:, 49, 0.470588, 0, 0, 0.470588, 0.434024, 0.471142
zoddyevenfreqs:, 50, 0.480392, 0, 0, 0.480392, 0.440598, 0.467321
zoddyevenfreqs:, 51, 0.490196, 0, 0, 0.490196, 0.446775, 0.461502
zoddyevenfreqs:, 52, 0.5, 0, 0, 0.5, 0.450633, 0.457762
