freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8, band 9, band 10
freqs:, 1, 0.435, 0, 0, 0.435, 0.384146, 0.40393, 0.407869, 0.43368, 0.435554, 0.435666, 0.439963, 0.440046, 0.440053, 0.440074
freqs:, 2, 0.436585, 0, 0, 0.436585, 0.385125, 0.40476, 0.409028, 0.434884, 0.437135, 0.437245, 0.441529, 0.44161, 0.44162, 0.441641
freqs:, 3, 0.438171, 0, 0, 0.438171, 0.386099, 0.405582, 0.410184, 0.436076, 0.438715, 0.438824, 0.443096, 0.443172, 0.443186, 0.443209
freqs:, 4, 0.439756, 0, 0, 0.439756, 0.387069, 0.406398, 0.411336, 0.437256, 0.440296, 0.440403, 0.444662, 0.444732, 0.444754, 0.444776
freqs:, 5, 0.441341, 0, 0, 0.441341, 0.388035, 0.407206, 0.412485, 0.438423, 0.441876, 0.441983, 0.446228, 0.446288, 0.446321, 0.446343
freqs:, 6, 0.442927, 0, 0, 0.442927, 0.388995, 0.408006, 0.41363, 0.43958, 0.443455, 0.443562, 0.447795, 0.447828, 0.447888, 0.447911
freqs:, 7, 0.444512, 0, 0, 0.444512, 0.389951, 0.408798, 0.414772, 0.440725, 0.445034, 0.445142, 0.449301, 0.449362, 0.449456, 0.449479
freqs:, 8, 0.446098, 0, 0, 0.446098, 0.390902, 0.409583, 0.41591, 0.441859, 0.446609, 0.446722, 0.450151, 0.450928, 0.451023, 0.451046
freqs:, 9, 0.447683, 0, 0, 0.447683, 0.391847, 0.410359, 0.417045, 0.442982, 0.448171, 0.448301, 0.450067, 0.452494, 0.452591, 0.452614
freqs:, 10, 0.449268, 0, 0, 0.449268, 0.392787, 0.411126, 0.418176, 0.444094, 0.449487, 0.449881, 0.450026, 0.45406, 0.454159, 0.454182
freqs:, 11, 0.450854, 0, 0, 0.450854, 0.393721, 0.411884, 0.419304, 0.445196, 0.449303, 0.451407, 0.451461, 0.455626, 0.455727, 0.455751
freqs:, 12, 0.452439, 0, 0, 0.452439, 0.394649, 0.412632, 0.420427, 0.446287, 0.448885, 0.452972, 0.453041, 0.457192, 0.457295, 0.457319
freqs:, 13, 0.454024, 0, 0, 0.454024, 0.395572, 0.413371, 0.421548, 0.447368, 0.448418, 0.454547, 0.454621, 0.458756, 0.458863, 0.458887
freqs:, 14, 0.45561, 0, 0, 0.45561, 0.396487, 0.414099, 0.422664, 0.447917, 0.448438, 0.456126, 0.456201, 0.460319, 0.460431, 0.460456
freqs:, 15, 0.457195, 0, 0, 0.457195, 0.397396, 0.414817, 0.423777, 0.44739, 0.449498, 0.457706, 0.457782, 0.461878, 0.462, 0.462024
freqs:, 16, 0.45878, 0, 0, 0.45878, 0.398297, 0.415523, 0.424885, 0.44684, 0.450547, 0.459286, 0.459362, 0.463428, 0.463568, 0.463593
freqs:, 17, 0.460366, 0, 0, 0.460366, 0.399191, 0.416217, 0.42599, 0.446272, 0.451586, 0.460867, 0.460942, 0.464943, 0.465137, 0.465162
freqs:, 18, 0.461951, 0, 0, 0.461951, 0.400076, 0.416899, 0.427091, 0.445688, 0.452615, 0.462448, 0.462523, 0.466061, 0.466706, 0.466731
freqs:, 19, 0.463537, 0, 0, 0.463537, 0.400952, 0.417567, 0.428188, 0.445092, 0.453632, 0.46403, 0.464103, 0.465897, 0.468275, 0.4683
freqs:, 20, 0.465122, 0, 0, 0.465122, 0.401819, 0.418221, 0.42928, 0.444485, 0.454638, 0.465458, 0.465611, 0.465684, 0.469844, 0.469868
freqs:, 21, 0.466707, 0, 0, 0.466707, 0.402676, 0.41886, 0.430368, 0.443871, 0.455633, 0.464985, 0.467193, 0.467265, 0.471413, 0.471437
freqs:, 22, 0.468293, 0, 0, 0.468293, 0.403521, 0.419484, 0.431452, 0.44325, 0.456615, 0.464507, 0.468774, 0.468845, 0.472982, 0.472996
freqs:, 23, 0.469878, 0, 0, 0.469878, 0.404354, 0.42009, 0.43253, 0.442627, 0.457586, 0.464032, 0.470356, 0.470426, 0.472661, 0.474551
freqs:, 24, 0.471463, 0, 0, 0.471463, 0.405174, 0.420678, 0.433604, 0.442001, 0.458541, 0.463563, 0.471711, 0.471938, 0.472008, 0.476121
freqs:, 25, 0.473049, 0, 0, 0.473049, 0.40598, 0.421248, 0.434672, 0.441376, 0.459484, 0.463103, 0.470757, 0.473519, 0.473588, 0.47769
freqs:, 26, 0.474634, 0, 0, 0.474634, 0.406769, 0.421797, 0.435734, 0.440753, 0.46041, 0.462655, 0.469801, 0.475101, 0.475169, 0.47926
freqs:, 27, 0.47622, 0, 0, 0.47622, 0.40754, 0.422324, 0.43679, 0.440136, 0.46132, 0.462222, 0.468844, 0.476683, 0.47675, 0.480829
freqs:, 28, 0.477805, 0, 0, 0.477805, 0.408291, 0.422828, 0.437839, 0.439527, 0.461803, 0.462212, 0.467888, 0.478265, 0.478331, 0.482399
freqs:, 29, 0.47939, 0, 0, 0.47939, 0.40902, 0.423308, 0.43888, 0.438928, 0.461403, 0.463083, 0.466933, 0.479847, 0.479912, 0.483969
freqs:, 30, 0.480976, 0, 0, 0.480976, 0.409724, 0.423761, 0.438344, 0.439912, 0.461022, 0.46393, 0.465981, 0.481429, 0.481493, 0.485539
freqs:, 31, 0.482561, 0, 0, 0.482561, 0.4104, 0.424187, 0.437776, 0.440934, 0.460662, 0.464734, 0.465049, 0.48301, 0.483074, 0.487108
freqs:, 32, 0.484146, 0, 0, 0.484146, 0.411044, 0.424583, 0.437231, 0.441943, 0.460325, 0.46408, 0.465552, 0.484592, 0.484656, 0.488678
freqs:, 33, 0.485732, 0, 0, 0.485732, 0.411652, 0.424949, 0.436711, 0.442938, 0.460013, 0.463147, 0.466308, 0.486174, 0.486237, 0.48902
freqs:, 34, 0.487317, 0, 0, 0.487317, 0.412219, 0.425281, 0.436221, 0.443913, 0.459728, 0.462225, 0.467025, 0.487756, 0.487818, 0.488504
freqs:, 35, 0.488902, 0, 0, 0.488902, 0.412741, 0.425579, 0.435768, 0.444865, 0.459472, 0.46132, 0.467695, 0.487944, 0.489338, 0.4894
freqs:, 36, 0.490488, 0, 0, 0.490488, 0.41321, 0.425841, 0.435358, 0.445784, 0.459246, 0.460441, 0.46831, 0.487409, 0.49092, 0.490981
freqs:, 37, 0.492073, 0, 0, 0.492073, 0.413622, 0.426066, 0.434995, 0.446659, 0.459051, 0.4596, 0.46886, 0.486922, 0.492502, 0.492562
freqs:, 38, 0.493659, 0, 0, 0.493659, 0.41397, 0.426252, 0.434687, 0.447471, 0.458816, 0.45889, 0.469333, 0.486497, 0.494084, 0.494144
freqs:, 39, 0.495244, 0, 0, 0.495244, 0.414249, 0.426398, 0.43444, 0.44819, 0.458119, 0.458763, 0.469719, 0.486148, 0.495665, 0.495725
freqs:, 40, 0.496829, 0, 0, 0.496829, 0.414452, 0.426503, 0.434259, 0.448774, 0.45755, 0.458672, 0.470005, 0.485887, 0.497247, 0.497307
freqs:, 41, 0.498415, 0, 0, 0.498415, 0.414576, 0.426566, 0.434149, 0.449164, 0.457169, 0.458617, 0.470182, 0.485726, 0.498828, 0.498888
freqs:, 42, 0.5, 0, 0, 0.5, 0.414618, 0.426587, 0.434111, 0.449303, 0.457033, 0.458598, 0.470243, 0.48567, 0.50041, 0.500469
