zevenyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyodd band 1, zevenyodd band 2, zevenyodd band 3, zevenyodd band 4
zevenyoddfreqs:, 1, 0, 0, 0, 0, 0, 0.0662472, 0.0666134, 0.0937529
zevenyoddfreqs:, 2, 0.016129, 0, 0, 0.016129, 0.0160791, 0.0681321, 0.068541, 0.095092
zevenyoddfreqs:, 3, 0.0322581, 0, 0, 0.0322581, 0.032157, 0.0734983, 0.0740205, 0.0990051
zevenyoddfreqs:, 4, 0.0483871, 0, 0, 0.0483871, 0.0482323, 0.0816602, 0.082343, 0.10521
zevenyoddfreqs:, 5, 0.0645161, 0, 0, 0.0645161, 0.0643034, 0.0918688, 0.0927459, 0.113332
zevenyoddfreqs:, 6, 0.0806452, 0, 0, 0.0806452, 0.0803683, 0.10351, 0.10461, 0.12299
zevenyoddfreqs:, 7, 0.0967742, 0, 0, 0.0967742, 0.0964245, 0.116141, 0.117495, 0.133847
zevenyoddfreqs:, 8, 0.112903, 0, 0, 0.112903, 0.112468, 0.129456, 0.131099, 0.145635
zevenyoddfreqs:, 9, 0.129032, 0, 0, 0.129032, 0.128495, 0.143248, 0.145221, 0.158142
zevenyoddfreqs:, 10, 0.145161, 0, 0, 0.145161, 0.144495, 0.15737, 0.159724, 0.171212
zevenyoddfreqs:, 11, 0.16129, 0, 0, 0.16129, 0.160458, 0.17172, 0.174512, 0.184725
zevenyoddfreqs:, 12, 0.177419, 0, 0, 0.177419, 0.176363, 0.186223, 0.189519, 0.198593
zevenyoddfreqs:, 13, 0.193548, 0, 0, 0.193548, 0.192175, 0.200836, 0.204696, 0.212756
zevenyoddfreqs:, 14, 0.209677, 0, 0, 0.209677, 0.207835, 0.215545, 0.220009, 0.227165
zevenyoddfreqs:, 15, 0.225806, 0, 0, 0.225806, 0.223245, 0.230381, 0.235431, 0.241788
zevenyoddfreqs:, 16, 0.241935, 0, 0, 0.241935, 0.238279, 0.245415, 0.250942, 0.256598
zevenyoddfreqs:, 17, 0.258065, 0, 0, 0.258065, 0.252828, 0.260704, 0.266526, 0.271573
zevenyoddfreqs:, 18, 0.274194, 0, 0, 0.274194, 0.266862, 0.276239, 0.282171, 0.286694
zevenyoddfreqs:, 19, 0.290323, 0, 0, 0.290323, 0.280414, 0.291961, 0.297868, 0.301942
zevenyoddfreqs:, 20, 0.306452, 0, 0, 0.306452, 0.293529, 0.307807, 0.313608, 0.3173
zevenyoddfreqs:, 21, 0.322581, 0, 0, 0.322581, 0.306245, 0.323734, 0.329386, 0.332751
zevenyoddfreqs:, 22, 0.33871, 0, 0, 0.33871, 0.318586, 0.339712, 0.345196, 0.34828
zevenyoddfreqs:, 23, 0.354839, 0, 0, 0.354839, 0.330568, 0.355725, 0.361034, 0.363876
zevenyoddfreqs:, 24, 0.370968, 0, 0, 0.370968, 0.342207, 0.371762, 0.376897, 0.379528
zevenyoddfreqs:, 25, 0.387097, 0, 0, 0.387097, 0.353506, 0.387816, 0.392781, 0.395227
zevenyoddfreqs:, 26, 0.403226, 0, 0, 0.403226, 0.364465, 0.403883, 0.408683, 0.410967
zevenyoddfreqs:, 27, 0.419355, 0, 0, 0.419355, 0.375071, 0.419958, 0.424601, 0.426738
zevenyoddfreqs:, 28, 0.435484, 0, 0, 0.435484, 0.38529, 0.43604, 0.440527, 0.442528
zevenyoddfreqs:, 29, 0.451613, 0, 0, 0.451613, 0.395041, 0.450565, 0.452166, 0.456528
zevenyoddfreqs:, 30, 0.467742, 0, 0, 0.467742, 0.4041, 0.445046, 0.468226, 0.47246
zevenyoddfreqs:, 31, 0.483871, 0, 0, 0.483871, 0.411737, 0.439006, 0.48432, 0.488425
zevenyoddfreqs:, 32, 0.5, 0, 0, 0.5, 0.415328, 0.435899, 0.500432, 0.504366
