freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 1, 0.3, 0, 0, 0.3, 0.282053, 0.291529, 0.303926, 0.304832, 0.306177, 0.312026
freqs:, 2, 0.307692, 0, 0, 0.307692, 0.287785, 0.29815, 0.31057, 0.311314, 0.313327, 0.318789
freqs:, 3, 0.315385, 0, 0, 0.315385, 0.293413, 0.304659, 0.316098, 0.318741, 0.320536, 0.325466
freqs:, 4, 0.323077, 0, 0, 0.323077, 0.298942, 0.311056, 0.321416, 0.3262, 0.327799, 0.332038
freqs:, 5, 0.330769, 0, 0, 0.330769, 0.304377, 0.317342, 0.326534, 0.333686, 0.335112, 0.338484
freqs:, 6, 0.338462, 0, 0, 0.338462, 0.309721, 0.323522, 0.331462, 0.341196, 0.34247, 0.344785
freqs:, 7, 0.346154, 0, 0, 0.346154, 0.314975, 0.329597, 0.336218, 0.348725, 0.349868, 0.350925
freqs:, 8, 0.353846, 0, 0, 0.353846, 0.320144, 0.335572, 0.340817, 0.35627, 0.356895, 0.357299
freqs:, 9, 0.361538, 0, 0, 0.361538, 0.325228, 0.341448, 0.345276, 0.362689, 0.36383, 0.364761
freqs:, 10, 0.369231, 0, 0, 0.369231, 0.33023, 0.34723, 0.349608, 0.36831, 0.371401, 0.372248
freqs:, 11, 0.376923, 0, 0, 0.376923, 0.33515, 0.352919, 0.353826, 0.373762, 0.378982, 0.379757
freqs:, 12, 0.384615, 0, 0, 0.384615, 0.339988, 0.357942, 0.358518, 0.379055, 0.386572, 0.387285
freqs:, 13, 0.392308, 0, 0, 0.392308, 0.344745, 0.361962, 0.364029, 0.384198, 0.394169, 0.394829
freqs:, 14, 0.4, 0, 0, 0.4, 0.34942, 0.365894, 0.369454, 0.389204, 0.401771, 0.402388
freqs:, 15, 0.407692, 0, 0, 0.407692, 0.354011, 0.36974, 0.374796, 0.394083, 0.409377, 0.409958
freqs:, 16, 0.415385, 0, 0, 0.415385, 0.358516, 0.373502, 0.380056, 0.398846, 0.416985, 0.417539
freqs:, 17, 0.423077, 0, 0, 0.423077, 0.362928, 0.377178, 0.385236, 0.403501, 0.424591, 0.425128
freqs:, 18, 0.430769, 0, 0, 0.430769, 0.367241, 0.380761, 0.390338, 0.408057, 0.43218, 0.432726
freqs:, 19, 0.438462, 0, 0, 0.438462, 0.371442, 0.384239, 0.395362, 0.41252, 0.439603, 0.440329
freqs:, 20, 0.446154, 0, 0, 0.446154, 0.375514, 0.387595, 0.400309, 0.416897, 0.440132, 0.447936
freqs:, 21, 0.453846, 0, 0, 0.453846, 0.379426, 0.390799, 0.40518, 0.421191, 0.436944, 0.444777
freqs:, 22, 0.461538, 0, 0, 0.461538, 0.383135, 0.393807, 0.409974, 0.425401, 0.433757, 0.442114
freqs:, 23, 0.469231, 0, 0, 0.469231, 0.386569, 0.396552, 0.414684, 0.429521, 0.430724, 0.439593
freqs:, 24, 0.476923, 0, 0, 0.476923, 0.389611, 0.398936, 0.419297, 0.427981, 0.433532, 0.437363
freqs:, 25, 0.484615, 0, 0, 0.484615, 0.392085, 0.400825, 0.423768, 0.425718, 0.435573, 0.437372
freqs:, 26, 0.492308, 0, 0, 0.492308, 0.393742, 0.402055, 0.424184, 0.427912, 0.434402, 0.440787
freqs:, 27, 0.5, 0, 0, 0.5, 0.394329, 0.40248, 0.423639, 0.430325, 0.433995, 0.436427
