zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2, zeven band 3, zeven band 4
zevenfreqs:, 1, 0.3, 0, 0, 0.3, 0.282064, 0.301204, 0.302916, 0.307135
zevenfreqs:, 2, 0.307692, 0, 0, 0.307692, 0.287747, 0.308811, 0.309177, 0.314643
zevenfreqs:, 3, 0.315385, 0, 0, 0.315385, 0.293335, 0.315102, 0.31643, 0.32216
zevenfreqs:, 4, 0.323077, 0, 0, 0.323077, 0.298831, 0.320697, 0.324058, 0.329684
zevenfreqs:, 5, 0.330769, 0, 0, 0.330769, 0.304237, 0.325993, 0.331693, 0.337215
zevenfreqs:, 6, 0.338462, 0, 0, 0.338462, 0.309555, 0.331031, 0.339334, 0.344753
zevenfreqs:, 7, 0.346154, 0, 0, 0.346154, 0.314788, 0.335848, 0.34698, 0.352298
zevenfreqs:, 8, 0.353846, 0, 0, 0.353846, 0.319936, 0.340477, 0.354631, 0.359848
zevenfreqs:, 9, 0.361538, 0, 0, 0.361538, 0.325, 0.344947, 0.362285, 0.367403
zevenfreqs:, 10, 0.369231, 0, 0, 0.369231, 0.329982, 0.349279, 0.369943, 0.374963
zevenfreqs:, 11, 0.376923, 0, 0, 0.376923, 0.334883, 0.353489, 0.377603, 0.382528
zevenfreqs:, 12, 0.384615, 0, 0, 0.384615, 0.339702, 0.357591, 0.385266, 0.390096
zevenfreqs:, 13, 0.392308, 0, 0, 0.392308, 0.34444, 0.361596, 0.39293, 0.397669
zevenfreqs:, 14, 0.4, 0, 0, 0.4, 0.349095, 0.365509, 0.400596, 0.405243
zevenfreqs:, 15, 0.407692, 0, 0, 0.407692, 0.353666, 0.369336, 0.408263, 0.412821
zevenfreqs:, 16, 0.415385, 0, 0, 0.415385, 0.35815, 0.373077, 0.41593, 0.420399
zevenfreqs:, 17, 0.423077, 0, 0, 0.423077, 0.362541, 0.37673, 0.423597, 0.427979
zevenfreqs:, 18, 0.430769, 0, 0, 0.430769, 0.366831, 0.380288, 0.431259, 0.435551
zevenfreqs:, 19, 0.438462, 0, 0, 0.438462, 0.37101, 0.383741, 0.438875, 0.443078
zevenfreqs:, 20, 0.446154, 0, 0, 0.446154, 0.375057, 0.387068, 0.43961, 0.446858
zevenfreqs:, 21, 0.453846, 0, 0, 0.453846, 0.378944, 0.390242, 0.436424, 0.444456
zevenfreqs:, 22, 0.461538, 0, 0, 0.461538, 0.382626, 0.393217, 0.433264, 0.441834
zevenfreqs:, 23, 0.469231, 0, 0, 0.469231, 0.386031, 0.395927, 0.430261, 0.439352
zevenfreqs:, 24, 0.476923, 0, 0, 0.476923, 0.389044, 0.398277, 0.427548, 0.437158
zevenfreqs:, 25, 0.484615, 0, 0, 0.484615, 0.391491, 0.400134, 0.425312, 0.435403
zevenfreqs:, 26, 0.492308, 0, 0, 0.492308, 0.39313, 0.401344, 0.423798, 0.434253
zevenfreqs:, 27, 0.5, 0, 0, 0.5, 0.393713, 0.401767, 0.423255, 0.433849
