freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0913181, 0.0913185, 0.0998269, 0.0998269, 0.185279, 0.185279
freqs:, 2, 0.0238095, 0, 0, 0.0238095, 0.0226638, 0.023303, 0.093885, 0.0943543, 0.102388, 0.102617, 0.186626, 0.186776
freqs:, 3, 0.047619, 0, 0, 0.047619, 0.0452266, 0.0465818, 0.101212, 0.102926, 0.10971, 0.110566, 0.190615, 0.191198
freqs:, 4, 0.0714286, 0, 0, 0.0714286, 0.0675695, 0.0698092, 0.112426, 0.115811, 0.120926, 0.122674, 0.197108, 0.198347
freqs:, 5, 0.0952381, 0, 0, 0.0952381, 0.0895403, 0.0929513, 0.126609, 0.131748, 0.135065, 0.137849, 0.205899, 0.207942
freqs:, 6, 0.119048, 0, 0, 0.119048, 0.110949, 0.115963, 0.143061, 0.149765, 0.15131, 0.155193, 0.216753, 0.219658
freqs:, 7, 0.142857, 0, 0, 0.142857, 0.131601, 0.138781, 0.161323, 0.169072, 0.169196, 0.174057, 0.229426, 0.233176
freqs:, 8, 0.166667, 0, 0, 0.166667, 0.151369, 0.161321, 0.181061, 0.187963, 0.189607, 0.193996, 0.243683, 0.248196
freqs:, 9, 0.190476, 0, 0, 0.190476, 0.170254, 0.183471, 0.201955, 0.207745, 0.210709, 0.21471, 0.259311, 0.264459
freqs:, 10, 0.214286, 0, 0, 0.214286, 0.188351, 0.205103, 0.223692, 0.228284, 0.232314, 0.235992, 0.276116, 0.281747
freqs:, 11, 0.238095, 0, 0, 0.238095, 0.205772, 0.226101, 0.246009, 0.249493, 0.254288, 0.257698, 0.293924, 0.299875
freqs:, 12, 0.261905, 0, 0, 0.261905, 0.222604, 0.246388, 0.268715, 0.271286, 0.276542, 0.279726, 0.312581, 0.318696
freqs:, 13, 0.285714, 0, 0, 0.285714, 0.238894, 0.265937, 0.291686, 0.29356, 0.299009, 0.302001, 0.331949, 0.338086
freqs:, 14, 0.309524, 0, 0, 0.309524, 0.254657, 0.284758, 0.314837, 0.316204, 0.321639, 0.324465, 0.351903, 0.357946
freqs:, 15, 0.333333, 0, 0, 0.333333, 0.269873, 0.302873, 0.338116, 0.339121, 0.344394, 0.347073, 0.372329, 0.378192
freqs:, 16, 0.357143, 0, 0, 0.357143, 0.284482, 0.320307, 0.361484, 0.362237, 0.367245, 0.369786, 0.393103, 0.398755
freqs:, 17, 0.380952, 0, 0, 0.380952, 0.298365, 0.337079, 0.38491, 0.385496, 0.390165, 0.392564, 0.414019, 0.419577
freqs:, 18, 0.404762, 0, 0, 0.404762, 0.311303, 0.3532, 0.408351, 0.40886, 0.413131, 0.415364, 0.434179, 0.440608
freqs:, 19, 0.428571, 0, 0, 0.428571, 0.32291, 0.368647, 0.431502, 0.4323, 0.43612, 0.438113, 0.44338, 0.461804
freqs:, 20, 0.452381, 0, 0, 0.452381, 0.332526, 0.383286, 0.436697, 0.444002, 0.455825, 0.456001, 0.459108, 0.460652
freqs:, 21, 0.47619, 0, 0, 0.47619, 0.339126, 0.396452, 0.431621, 0.432013, 0.479362, 0.479396, 0.482066, 0.482381
freqs:, 22, 0.5, 0, 0, 0.5, 0.34152, 0.40371, 0.425143, 0.429636, 0.496918, 0.502851, 0.50291, 0.504947
freqs:, 23, 0.5, 0.0238095, 0, 0.500567, 0.341985, 0.403987, 0.425507, 0.429855, 0.497404, 0.503412, 0.503458, 0.503553
freqs:, 24, 0.5, 0.047619, 0, 0.502262, 0.343375, 0.404816, 0.426593, 0.430512, 0.498854, 0.505097, 0.505138, 0.505237
freqs:, 25, 0.5, 0.0714286, 0, 0.505076, 0.345675, 0.406187, 0.428389, 0.431604, 0.501252, 0.507892, 0.507925, 0.508031
freqs:, 26, 0.5, 0.0952381, 0, 0.508989, 0.348858, 0.408087, 0.430873, 0.433123, 0.504569, 0.511778, 0.511801, 0.511916
freqs:, 27, 0.5, 0.119048, 0, 0.513977, 0.352891, 0.410497, 0.434014, 0.435061, 0.508764, 0.516733, 0.516742, 0.516867
freqs:, 28, 0.5, 0.142857, 0, 0.520008, 0.35773, 0.413394, 0.437405, 0.437774, 0.513784, 0.522714, 0.522717, 0.522852
freqs:, 29, 0.5, 0.166667, 0, 0.527046, 0.363325, 0.416753, 0.440142, 0.442108, 0.51956, 0.529637, 0.52969, 0.529836
freqs:, 30, 0.5, 0.190476, 0, 0.535053, 0.36962, 0.420546, 0.443252, 0.446964, 0.526, 0.536981, 0.537622, 0.53778
freqs:, 31, 0.5, 0.214286, 0, 0.543984, 0.376553, 0.424744, 0.446713, 0.452282, 0.532979, 0.544797, 0.546467, 0.546641
freqs:, 32, 0.5, 0.238095, 0, 0.553795, 0.384056, 0.429319, 0.4505, 0.457994, 0.540293, 0.553039, 0.556176, 0.556373
freqs:, 33, 0.5, 0.261905, 0, 0.564441, 0.392056, 0.43424, 0.454581, 0.464023, 0.54753, 0.561391, 0.566692, 0.566922
freqs:, 34, 0.5, 0.285714, 0, 0.575876, 0.40047, 0.439478, 0.458918, 0.470282, 0.553634, 0.569282, 0.573223, 0.577944
freqs:, 35, 0.5, 0.309524, 0, 0.588052, 0.409204, 0.445002, 0.463464, 0.476671, 0.556057, 0.575688, 0.57706, 0.581458
freqs:, 36, 0.5, 0.333333, 0, 0.600925, 0.418148, 0.450779, 0.46816, 0.483068, 0.55313, 0.575967, 0.579107, 0.585994
freqs:, 37, 0.5, 0.357143, 0, 0.614452, 0.427161, 0.456771, 0.472926, 0.48933, 0.547207, 0.572134, 0.578456, 0.593553
freqs:, 38, 0.5, 0.380952, 0, 0.628589, 0.436058, 0.462928, 0.477654, 0.495283, 0.540272, 0.567259, 0.574294, 0.602176
freqs:, 39, 0.5, 0.404762, 0, 0.643298, 0.444575, 0.469177, 0.482188, 0.500714, 0.533093, 0.562202, 0.568197, 0.610956
freqs:, 40, 0.5, 0.428571, 0, 0.658539, 0.452329, 0.475387, 0.486307, 0.505374, 0.526049, 0.557501, 0.561619, 0.619284
freqs:, 41, 0.5, 0.452381, 0, 0.674276, 0.458761, 0.481272, 0.489702, 0.508988, 0.519528, 0.553618, 0.555733, 0.626466
freqs:, 42, 0.5, 0.47619, 0, 0.690476, 0.46313, 0.486103, 0.491987, 0.511292, 0.514302, 0.551015, 0.551594, 0.631545
freqs:, 43, 0.5, 0.5, 0, 0.707107, 0.464696, 0.488183, 0.4928, 0.512085, 0.512088, 0.550089, 0.550093, 0.633421
freqs:, 44, 0.47619, 0.47619, 0, 0.673435, 0.461445, 0.484068, 0.491528, 0.512379, 0.514593, 0.549961, 0.554831, 0.629399
freqs:, 45, 0.452381, 0.452381, 0, 0.639763, 0.451736, 0.474391, 0.490277, 0.513225, 0.519638, 0.549391, 0.566415, 0.617101
freqs:, 46, 0.428571, 0.428571, 0, 0.606092, 0.437213, 0.461742, 0.491016, 0.514508, 0.525112, 0.547678, 0.581077, 0.598342
freqs:, 47, 0.404762, 0.404762, 0, 0.57242, 0.420009, 0.447063, 0.493437, 0.515904, 0.530631, 0.54284, 0.574194, 0.574861
freqs:, 48, 0.380952, 0.380952, 0, 0.538748, 0.401328, 0.43076, 0.497057, 0.516217, 0.530062, 0.536121, 0.541428, 0.545847
