freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0901515, 0.0901708, 0.0998955, 0.0998957
freqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0203324, 0.0211173, 0.0922329, 0.0926843, 0.102018, 0.102179
freqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0405687, 0.0422215, 0.0982156, 0.0998585, 0.108134, 0.108743
freqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0605973, 0.0632981, 0.107505, 0.110788, 0.117618, 0.11888
freqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0802779, 0.0843303, 0.119434, 0.124486, 0.129729, 0.131768
freqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0994374, 0.105297, 0.13346, 0.140143, 0.143801, 0.146682
freqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.117895, 0.12617, 0.14921, 0.157175, 0.159315, 0.163069
freqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.135527, 0.146913, 0.166402, 0.175179, 0.175899, 0.180526
freqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.152322, 0.167478, 0.184758, 0.193296, 0.193885, 0.198771
freqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.168368, 0.1878, 0.203991, 0.211341, 0.213106, 0.217605
freqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.183789, 0.207805, 0.223847, 0.229933, 0.232713, 0.236888
freqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.198695, 0.227413, 0.24413, 0.249008, 0.252616, 0.256517
freqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.213172, 0.24655, 0.264705, 0.268522, 0.272749, 0.276418
freqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.227279, 0.265166, 0.285485, 0.288426, 0.293061, 0.296534
freqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.241065, 0.283235, 0.30641, 0.308661, 0.313517, 0.316824
freqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.254565, 0.300748, 0.327442, 0.329163, 0.334087, 0.337254
