freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0861729, 0.0861862, 0.0978358, 0.0978396
freqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0194759, 0.0204664, 0.088241, 0.0887288, 0.0997133, 0.100062
freqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0387546, 0.0408538, 0.0942263, 0.0959581, 0.105144, 0.106454
freqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0576226, 0.0610691, 0.103632, 0.106914, 0.113648, 0.11631
freqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0758592, 0.0809904, 0.115901, 0.120564, 0.12467, 0.128807
freqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0932929, 0.100454, 0.130536, 0.13604, 0.137771, 0.143215
freqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.109884, 0.119258, 0.147069, 0.152198, 0.153185, 0.158958
freqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.12574, 0.137214, 0.165035, 0.168609, 0.170734, 0.175599
freqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.141039, 0.154233, 0.18401, 0.186228, 0.188989, 0.192802
freqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.155941, 0.170381, 0.203663, 0.204904, 0.207648, 0.21029
freqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.170566, 0.185819, 0.223751, 0.224367, 0.226543, 0.227824
freqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.184989, 0.200723, 0.243903, 0.244373, 0.245382, 0.245543
freqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.199259, 0.215237, 0.261659, 0.264454, 0.264816, 0.265101
freqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.213408, 0.229467, 0.277924, 0.28332, 0.28541, 0.285846
freqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.227458, 0.243491, 0.293449, 0.301869, 0.306213, 0.306759
freqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.241421, 0.257362, 0.308316, 0.319999, 0.327138, 0.327768
freqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.255308, 0.27112, 0.322635, 0.337583, 0.348149, 0.348845
freqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.269123, 0.284794, 0.336522, 0.354524, 0.369217, 0.369972
freqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.282867, 0.298405, 0.350075, 0.370778, 0.390321, 0.391132
freqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.296538, 0.311965, 0.363365, 0.386355, 0.411441, 0.412313
freqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.310131, 0.325483, 0.376441, 0.401306, 0.432552, 0.433499
freqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.323636, 0.338962, 0.389332, 0.415702, 0.453619, 0.454665
freqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.337037, 0.352402, 0.402041, 0.429612, 0.47457, 0.475757
freqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.350312, 0.365799, 0.41455, 0.443095, 0.495171, 0.496569
freqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.363424, 0.37914, 0.426794, 0.456186, 0.506597, 0.512676
freqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.376312, 0.392409, 0.438623, 0.468865, 0.499663, 0.511725
freqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.388877, 0.405573, 0.449675, 0.480972, 0.492682, 0.505703
freqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.400933, 0.418573, 0.459034, 0.486566, 0.491626, 0.499547
freqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.412117, 0.431292, 0.464665, 0.481954, 0.492157, 0.499048
freqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.421679, 0.443455, 0.465365, 0.478521, 0.486382, 0.49645
freqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.428239, 0.454253, 0.463814, 0.476055, 0.481149, 0.491378
freqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.430453, 0.461121, 0.461165, 0.477107, 0.477192, 0.488458
freqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.429976, 0.459193, 0.46196, 0.475215, 0.479517, 0.489505
freqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.428764, 0.45697, 0.461214, 0.472948, 0.482586, 0.492426
freqs:, 35, 0.650538, 0.349462, 0, 0.651137, 0.427046, 0.454581, 0.45959, 0.470363, 0.485869, 0.496443
freqs:, 36, 0.645161, 0.354839, 0, 0.646236, 0.424999, 0.452111, 0.457544, 0.467615, 0.48872, 0.500815
freqs:, 37, 0.639785, 0.360215, 0, 0.641477, 0.422748, 0.449617, 0.455309, 0.46481, 0.490416, 0.504938
freqs:, 38, 0.634409, 0.365591, 0, 0.636864, 0.42038, 0.447133, 0.453004, 0.462006, 0.490612, 0.508136
freqs:, 39, 0.629032, 0.370968, 0, 0.632401, 0.417952, 0.444683, 0.45069, 0.459238, 0.489651, 0.509674
freqs:, 40, 0.623656, 0.376344, 0, 0.62809, 0.415508, 0.442283, 0.448402, 0.456524, 0.488043, 0.509515
freqs:, 41, 0.61828, 0.38172, 0, 0.623934, 0.413078, 0.439944, 0.446162, 0.45388, 0.486121, 0.5084
freqs:, 42, 0.612903, 0.387097, 0, 0.619937, 0.410683, 0.437674, 0.443985, 0.451315, 0.484063, 0.506898
freqs:, 43, 0.607527, 0.392473, 0, 0.616102, 0.40834, 0.435482, 0.441881, 0.448835, 0.481962, 0.505265
freqs:, 44, 0.602151, 0.397849, 0, 0.612431, 0.406063, 0.433372, 0.439857, 0.446446, 0.479871, 0.503607
freqs:, 45, 0.596774, 0.403226, 0, 0.608929, 0.403862, 0.431348, 0.437921, 0.444152, 0.477822, 0.501974
freqs:, 46, 0.591398, 0.408602, 0, 0.605597, 0.401747, 0.429417, 0.436076, 0.441958, 0.475835, 0.500392
freqs:, 47, 0.586022, 0.413978, 0, 0.602438, 0.399723, 0.427579, 0.434327, 0.439867, 0.473926, 0.498875
freqs:, 48, 0.580645, 0.419355, 0, 0.599456, 0.397798, 0.42584, 0.432677, 0.437881, 0.472103, 0.497431
freqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.395976, 0.424201, 0.431129, 0.436004, 0.470375, 0.496068
freqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.394263, 0.422665, 0.429686, 0.434237, 0.468749, 0.494789
freqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.392661, 0.421234, 0.42835, 0.432583, 0.467227, 0.493597
freqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.391176, 0.41991, 0.427123, 0.431045, 0.465816, 0.492494
freqs:, 53, 0.553763, 0.446237, 0, 0.587278, 0.38981, 0.418695, 0.426006, 0.429625, 0.464518, 0.491483
freqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.388566, 0.417592, 0.425002, 0.428324, 0.463336, 0.490564
