zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2
zevenfreqs:, 1, 0, 0, 0, 0, 0, 0.0892183
zevenfreqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0199152, 0.0914088
zevenfreqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.039711, 0.0973769
zevenfreqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0592679, 0.106802
zevenfreqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0784569, 0.118949
zevenfreqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0971367, 0.13328
zevenfreqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.115222, 0.149351
zevenfreqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.132689, 0.166801
zevenfreqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.149615, 0.185293
zevenfreqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.166122, 0.20456
zevenfreqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.182149, 0.224338
zevenfreqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.198087, 0.24449
zevenfreqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.213543, 0.264925
zevenfreqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.229109, 0.28548
zevenfreqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.24397, 0.306203
zevenfreqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.259251, 0.326917
zevenfreqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.273626, 0.347787
zevenfreqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.288506, 0.368521
zevenfreqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.302654, 0.38919
zevenfreqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.317129, 0.393763
zevenfreqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.330959, 0.411367
zevenfreqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.345133, 0.428888
zevenfreqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.357968, 0.44666
zevenfreqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.371724, 0.463886
zevenfreqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.383775, 0.481281
zevenfreqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.396813, 0.497692
zevenfreqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.407865, 0.513242
zevenfreqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.419077, 0.522452
zevenfreqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.428519, 0.506397
zevenfreqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.436067, 0.503777
