zoddfreqs:, k index, k1, k2, k3, kmag/2pi, zodd band 1, zodd band 2
zoddfreqs:, 1, 0, 0, 0, 0, 0, 0.0975329
zoddfreqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0204709, 0.0994973
zoddfreqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0408862, 0.105188
zoddfreqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0611853, 0.114092
zoddfreqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0812921, 0.125587
zoddfreqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.101122, 0.139125
zoddfreqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.120581, 0.15429
zoddfreqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.139587, 0.170785
zoddfreqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.158093, 0.188388
zoddfreqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.176106, 0.206896
zoddfreqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.193684, 0.22611
zoddfreqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.210902, 0.24585
zoddfreqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.227829, 0.265966
zoddfreqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.244518, 0.286339
zoddfreqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.261003, 0.306866
zoddfreqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.277347, 0.324507
zoddfreqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.293688, 0.342193
zoddfreqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.309571, 0.360482
zoddfreqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.325505, 0.378652
zoddfreqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.340998, 0.396907
zoddfreqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.356643, 0.414884
zoddfreqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.371842, 0.432891
zoddfreqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.386766, 0.450917
zoddfreqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.401981, 0.468541
zoddfreqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.416575, 0.486245
zoddfreqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.430992, 0.503899
zoddfreqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.445032, 0.52157
zoddfreqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.458691, 0.539127
zoddfreqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.471935, 0.523048
zoddfreqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.484174, 0.515975
zoddfreqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.494974, 0.509541
zoddfreqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.503074, 0.503249
zoddfreqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.50009, 0.505689
zoddfreqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.497083, 0.507
zoddfreqs:, 35, 0.650538, 0.349462, 0, 0.651137, 0.494003, 0.507304
zoddfreqs:, 36, 0.645161, 0.354839, 0, 0.646236, 0.491298, 0.506496
zoddfreqs:, 37, 0.639785, 0.360215, 0, 0.641477, 0.488473, 0.505172
zoddfreqs:, 38, 0.634409, 0.365591, 0, 0.636864, 0.48573, 0.503432
zoddfreqs:, 39, 0.629032, 0.370968, 0, 0.632401, 0.483055, 0.501433
zoddfreqs:, 40, 0.623656, 0.376344, 0, 0.62809, 0.480459, 0.499283
zoddfreqs:, 41, 0.61828, 0.38172, 0, 0.623934, 0.477947, 0.497053
zoddfreqs:, 42, 0.612903, 0.387097, 0, 0.619937, 0.475522, 0.494795
zoddfreqs:, 43, 0.607527, 0.392473, 0, 0.616102, 0.473187, 0.492545
zoddfreqs:, 44, 0.602151, 0.397849, 0, 0.612431, 0.470946, 0.490328
zoddfreqs:, 45, 0.596774, 0.403226, 0, 0.608929, 0.468801, 0.488165
zoddfreqs:, 46, 0.591398, 0.408602, 0, 0.605597, 0.466757, 0.48607
zoddfreqs:, 47, 0.586022, 0.413978, 0, 0.602438, 0.464815, 0.484055
zoddfreqs:, 48, 0.580645, 0.419355, 0, 0.599456, 0.462977, 0.482133
zoddfreqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.461415, 0.479997
zoddfreqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.459732, 0.478275
zoddfreqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.458157, 0.476669
zoddfreqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.456732, 0.475204
zoddfreqs:, 53, 0.553763, 0.446237, 0, 0.587278, 0.45544, 0.473854
zoddfreqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.454273, 0.472624
zoddfreqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.453244, 0.471408
zoddfreqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.452296, 0.470423
zoddfreqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.451485, 0.469571
zoddfreqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.450808, 0.46885
zoddfreqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.45026, 0.468262
zoddfreqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.449839, 0.467809
zoddfreqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.449534, 0.467463
zoddfreqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.449364, 0.467279
zoddfreqs:, 63, 0.5, 0.5, 0, 0.57735, 0.449326, 0.467233
zoddfreqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.44293, 0.47363
zoddfreqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.431832, 0.484508
zoddfreqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.420074, 0.495484
zoddfreqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.40746, 0.475917
zoddfreqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.394631, 0.460545
zoddfreqs:, 69, 0.403226, 0.403226, 0, 0.465605, 0.381458, 0.445246
zoddfreqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.368486, 0.429777
zoddfreqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.355098, 0.41436
zoddfreqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.341682, 0.398844
zoddfreqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.328379, 0.381968
zoddfreqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.314588, 0.366366
zoddfreqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.300818, 0.349909
zoddfreqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.286857, 0.333956
zoddfreqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.272997, 0.31791
zoddfreqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.258916, 0.301829
zoddfreqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.244392, 0.285704
zoddfreqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.230117, 0.269094
zoddfreqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.215804, 0.253056
zoddfreqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.200646, 0.237812
zoddfreqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.18553, 0.221324
