freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0857167, 0.0857207, 0.097754
freqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.019395, 0.0204542, 0.0877818, 0.0882735, 0.0996218
freqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.038578, 0.0408268, 0.093763, 0.0955269, 0.105035
freqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0573199, 0.061021, 0.103175, 0.106509, 0.113517
freqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0753869, 0.0809097, 0.115474, 0.120176, 0.12452
freqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0926059, 0.100321, 0.130165, 0.135638, 0.137631
freqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.108951, 0.119044, 0.146767, 0.15182, 0.153024
freqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.124551, 0.136884, 0.164796, 0.168326, 0.170491
freqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.139592, 0.153757, 0.183817, 0.18599, 0.188726
freqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.154239, 0.16974, 0.203493, 0.204703, 0.207369
freqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.168609, 0.185007, 0.223556, 0.224194, 0.226245
freqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.182775, 0.19974, 0.243294, 0.244208, 0.245229
freqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.196785, 0.214085, 0.260475, 0.264044, 0.264718
freqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.210669, 0.228149, 0.276454, 0.282856, 0.285313
freqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.224446, 0.242008, 0.291689, 0.301323, 0.306119
freqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.238131, 0.255716, 0.306292, 0.319342, 0.327047
