zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2
zevenfreqs:, 1, 0, 0, 0, 0, 0, 0.0887063
zevenfreqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0198401, 0.0908224
zevenfreqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0395528, 0.0968357
zevenfreqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0590092, 0.106228
zevenfreqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0780489, 0.118365
zevenfreqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0965279, 0.132717
zevenfreqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.114355, 0.148839
zevenfreqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.13153, 0.166359
zevenfreqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.148121, 0.184918
zevenfreqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.164269, 0.204242
zevenfreqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.180065, 0.224084
zevenfreqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.195427, 0.244291
zevenfreqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.210794, 0.264703
zevenfreqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.225527, 0.285349
zevenfreqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.240478, 0.306077
zevenfreqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.255002, 0.326838
zevenfreqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.269339, 0.347651
zevenfreqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.283631, 0.368391
zevenfreqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.297424, 0.38909
zevenfreqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.311546, 0.409534
zevenfreqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.324556, 0.429755
zevenfreqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.338554, 0.449276
zevenfreqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.351198, 0.468183
zevenfreqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.36429, 0.486107
