zoddfreqs:, k index, k1, k2, k3, kmag/2pi, zodd band 1, zodd band 2
zoddfreqs:, 1, 0, 0, 0, 0, 0, 0.0975657
zoddfreqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0204611, 0.0995205
zoddfreqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0408645, 0.105184
zoddfreqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0611484, 0.114055
zoddfreqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0812337, 0.125515
zoddfreqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.101032, 0.139024
zoddfreqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.120448, 0.154168
zoddfreqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.139392, 0.170653
zoddfreqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.157817, 0.188257
zoddfreqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.175732, 0.206773
zoddfreqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.193196, 0.225998
zoddfreqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.210287, 0.245751
zoddfreqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.227074, 0.265879
zoddfreqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.243604, 0.286266
zoddfreqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.259942, 0.306829
zoddfreqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.276045, 0.324721
zoddfreqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.29232, 0.342059
zoddfreqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.307868, 0.360431
zoddfreqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.323618, 0.378613
zoddfreqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.338974, 0.396804
zoddfreqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.35435, 0.414817
zoddfreqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.369371, 0.432729
zoddfreqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.384218, 0.450571
zoddfreqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.398885, 0.468313
zoddfreqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.413333, 0.485968
zoddfreqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.427462, 0.503582
zoddfreqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.441227, 0.521208
zoddfreqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.454768, 0.53698
zoddfreqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.467521, 0.518496
zoddfreqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.480019, 0.511878
zoddfreqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.490973, 0.505459
zoddfreqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.499174, 0.499233
zoddfreqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.496167, 0.501623
zoddfreqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.493208, 0.502686
zoddfreqs:, 35, 0.650538, 0.349462, 0, 0.651137, 0.490344, 0.502538
zoddfreqs:, 36, 0.645161, 0.354839, 0, 0.646236, 0.487507, 0.501536
zoddfreqs:, 37, 0.639785, 0.360215, 0, 0.641477, 0.484735, 0.499925
zoddfreqs:, 38, 0.634409, 0.365591, 0, 0.636864, 0.482067, 0.497964
zoddfreqs:, 39, 0.629032, 0.370968, 0, 0.632401, 0.479428, 0.495814
zoddfreqs:, 40, 0.623656, 0.376344, 0, 0.62809, 0.476878, 0.493555
zoddfreqs:, 41, 0.61828, 0.38172, 0, 0.623934, 0.474409, 0.491253
zoddfreqs:, 42, 0.612903, 0.387097, 0, 0.619937, 0.472024, 0.488949
zoddfreqs:, 43, 0.607527, 0.392473, 0, 0.616102, 0.469729, 0.486672
zoddfreqs:, 44, 0.602151, 0.397849, 0, 0.612431, 0.467526, 0.484443
zoddfreqs:, 45, 0.596774, 0.403226, 0, 0.608929, 0.465419, 0.482278
zoddfreqs:, 46, 0.591398, 0.408602, 0, 0.605597, 0.463409, 0.48019
zoddfreqs:, 47, 0.586022, 0.413978, 0, 0.602438, 0.461502, 0.478187
