freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.092962, 0.0929861, 0.0999451, 0.0999452
freqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0206991, 0.0211991, 0.0950962, 0.0954292, 0.102103, 0.10223
freqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0413501, 0.04239, 0.101218, 0.102425, 0.108317, 0.108797
freqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0618987, 0.0635641, 0.110688, 0.113126, 0.117945, 0.11894
freqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0822774, 0.0847115, 0.122766, 0.126598, 0.13023, 0.131835
freqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.1024, 0.10582, 0.136824, 0.142053, 0.144492, 0.146758
freqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.122159, 0.126876, 0.152411, 0.158914, 0.160203, 0.163154
freqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.141439, 0.147858, 0.169232, 0.176778, 0.176979, 0.180622
freqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.160138, 0.168744, 0.187086, 0.194552, 0.195371, 0.19888
freqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.178212, 0.189502, 0.205805, 0.212738, 0.214501, 0.217728
freqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.195675, 0.210092, 0.225216, 0.231414, 0.234038, 0.237026
freqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.212584, 0.230468, 0.245152, 0.250503, 0.253886, 0.256672
freqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.229002, 0.25058, 0.26547, 0.269954, 0.273978, 0.276592
freqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.244986, 0.270378, 0.286063, 0.289733, 0.294262, 0.29673
freqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.260578, 0.289824, 0.306851, 0.309806, 0.3147, 0.317044
freqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.275812, 0.308888, 0.327783, 0.330139, 0.335264, 0.337503
freqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.290711, 0.327554, 0.348819, 0.350692, 0.35593, 0.35808
freqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.305292, 0.345813, 0.369934, 0.371426, 0.376679, 0.378756
freqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.319566, 0.363658, 0.39111, 0.392303, 0.397496, 0.399515
freqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.333539, 0.381081, 0.412333, 0.413293, 0.418368, 0.420344
freqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.347209, 0.398076, 0.433592, 0.434371, 0.439281, 0.441232
freqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.360563, 0.414636, 0.45488, 0.455519, 0.460222, 0.46217
freqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.37358, 0.430753, 0.476189, 0.476722, 0.481168, 0.48315
freqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.386218, 0.446418, 0.497509, 0.497967, 0.502075, 0.504163
freqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.398411, 0.46162, 0.518809, 0.519247, 0.522797, 0.525202
freqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.41005, 0.47634, 0.539032, 0.540555, 0.542177, 0.546249
freqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.420964, 0.490544, 0.535902, 0.548849, 0.561884, 0.567189
freqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.430879, 0.50417, 0.530547, 0.545733, 0.571219, 0.583221
freqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.439381, 0.517091, 0.526371, 0.541366, 0.565066, 0.601127
freqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.445914, 0.524122, 0.529044, 0.536749, 0.558936, 0.595473
freqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.44993, 0.524428, 0.532131, 0.539446, 0.552936, 0.59098
freqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.451233, 0.527491, 0.527652, 0.547101, 0.547108, 0.589103
freqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.450926, 0.525276, 0.5302, 0.544261, 0.549408, 0.589661
freqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.450112, 0.523105, 0.533284, 0.541472, 0.550535, 0.591376
freqs:, 35, 0.650538, 0.349462, 0, 0.651137, 0.448885, 0.520982, 0.536813, 0.53874, 0.55059, 0.59415
freqs:, 36, 0.645161, 0.354839, 0, 0.646236, 0.447333, 0.518911, 0.536066, 0.540698, 0.549801, 0.597755
freqs:, 37, 0.639785, 0.360215, 0, 0.641477, 0.445536, 0.516893, 0.533454, 0.544862, 0.54842, 0.601937
freqs:, 38, 0.634409, 0.365591, 0, 0.636864, 0.44356, 0.514933, 0.530906, 0.546652, 0.549234, 0.606486
freqs:, 39, 0.629032, 0.370968, 0, 0.632401, 0.441459, 0.513032, 0.528427, 0.544644, 0.553757, 0.611238
freqs:, 40, 0.623656, 0.376344, 0, 0.62809, 0.43928, 0.511192, 0.526018, 0.542496, 0.55838, 0.616049
freqs:, 41, 0.61828, 0.38172, 0, 0.623934, 0.437057, 0.509415, 0.523683, 0.540279, 0.563058, 0.620678
freqs:, 42, 0.612903, 0.387097, 0, 0.619937, 0.43482, 0.507704, 0.521425, 0.538038, 0.567746, 0.621968
freqs:, 43, 0.607527, 0.392473, 0, 0.616102, 0.432594, 0.506061, 0.519247, 0.535807, 0.572399, 0.618394
freqs:, 44, 0.602151, 0.397849, 0, 0.612431, 0.430399, 0.504486, 0.517151, 0.533612, 0.576962, 0.614786
freqs:, 45, 0.596774, 0.403226, 0, 0.608929, 0.42825, 0.502982, 0.515142, 0.53147, 0.581366, 0.61132
freqs:, 46, 0.591398, 0.408602, 0, 0.605597, 0.426162, 0.501551, 0.513222, 0.529395, 0.585506, 0.608017
freqs:, 47, 0.586022, 0.413978, 0, 0.602438, 0.424147, 0.500193, 0.511393, 0.5274, 0.589216, 0.604883
freqs:, 48, 0.580645, 0.419355, 0, 0.599456, 0.422215, 0.49891, 0.50966, 0.525492, 0.592223, 0.601922
freqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.420374, 0.497703, 0.508023, 0.52368, 0.594131, 0.599139
freqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.418632, 0.496574, 0.506487, 0.521971, 0.594651, 0.596535
