zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2
zevenfreqs:, 1, 0, 0, 0, 0, 0, 0.0929621
zevenfreqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0206991, 0.0950963
zevenfreqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0413502, 0.101218
zevenfreqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0618987, 0.110688
zevenfreqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0822774, 0.122766
zevenfreqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.1024, 0.136824
zevenfreqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.12216, 0.152411
zevenfreqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.141439, 0.169232
zevenfreqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.160139, 0.187087
zevenfreqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.178212, 0.205805
zevenfreqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.195675, 0.225216
zevenfreqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.212584, 0.245152
zevenfreqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.229002, 0.26547
zevenfreqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.244986, 0.286063
zevenfreqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.260579, 0.306851
zevenfreqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.275812, 0.327783
zevenfreqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.290711, 0.348819
zevenfreqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.305292, 0.369934
zevenfreqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.319567, 0.39111
zevenfreqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.33354, 0.412333
zevenfreqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.347209, 0.433592
zevenfreqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.360564, 0.45488
zevenfreqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.373581, 0.476189
zevenfreqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.386219, 0.497509
zevenfreqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.398411, 0.518809
zevenfreqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.410051, 0.539033
zevenfreqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.420964, 0.535904
zevenfreqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.43088, 0.530549
zevenfreqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.439382, 0.526372
zevenfreqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.445914, 0.524124
zevenfreqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.44993, 0.52443
zevenfreqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.451234, 0.527492
zevenfreqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.450926, 0.525278
zevenfreqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.450112, 0.523107
