zoddfreqs:, k index, k1, k2, k3, kmag/2pi, zodd band 1, zodd band 2
zoddfreqs:, 1, 0, 0, 0, 0, 0, 0.0999452
zoddfreqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0211991, 0.102103
zoddfreqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.04239, 0.108317
zoddfreqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0635642, 0.117945
zoddfreqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0847116, 0.13023
zoddfreqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.10582, 0.144492
zoddfreqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.126876, 0.160203
zoddfreqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.147858, 0.176979
zoddfreqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.168744, 0.194552
zoddfreqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.189502, 0.212738
zoddfreqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.210092, 0.231414
zoddfreqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.230468, 0.250503
zoddfreqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.25058, 0.269954
zoddfreqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.270379, 0.289733
zoddfreqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.289824, 0.309806
zoddfreqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.308888, 0.330139
zoddfreqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.327555, 0.350692
zoddfreqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.345814, 0.371426
zoddfreqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.363659, 0.392303
zoddfreqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.381082, 0.413293
zoddfreqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.398077, 0.434371
zoddfreqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.414637, 0.455519
zoddfreqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.430754, 0.476722
zoddfreqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.446419, 0.497967
zoddfreqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.461621, 0.519247
zoddfreqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.476341, 0.540555
zoddfreqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.490546, 0.561884
zoddfreqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.504172, 0.583221
zoddfreqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.517093, 0.565068
zoddfreqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.529046, 0.558938
zoddfreqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.539448, 0.552938
zoddfreqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.547104, 0.547109
zoddfreqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.544264, 0.549409
zoddfreqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.541475, 0.550536
zoddfreqs:, 35, 0.650538, 0.349462, 0, 0.651137, 0.538743, 0.550591
zoddfreqs:, 36, 0.645161, 0.354839, 0, 0.646236, 0.536069, 0.549802
zoddfreqs:, 37, 0.639785, 0.360215, 0, 0.641477, 0.533457, 0.548421
zoddfreqs:, 38, 0.634409, 0.365591, 0, 0.636864, 0.530909, 0.546652
zoddfreqs:, 39, 0.629032, 0.370968, 0, 0.632401, 0.52843, 0.544644
zoddfreqs:, 40, 0.623656, 0.376344, 0, 0.62809, 0.526021, 0.542497
zoddfreqs:, 41, 0.61828, 0.38172, 0, 0.623934, 0.523686, 0.540279
zoddfreqs:, 42, 0.612903, 0.387097, 0, 0.619937, 0.521428, 0.538038
zoddfreqs:, 43, 0.607527, 0.392473, 0, 0.616102, 0.519249, 0.535808
zoddfreqs:, 44, 0.602151, 0.397849, 0, 0.612431, 0.517154, 0.533612
zoddfreqs:, 45, 0.596774, 0.403226, 0, 0.608929, 0.515145, 0.53147
zoddfreqs:, 46, 0.591398, 0.408602, 0, 0.605597, 0.513225, 0.529396
zoddfreqs:, 47, 0.586022, 0.413978, 0, 0.602438, 0.511396, 0.5274
zoddfreqs:, 48, 0.580645, 0.419355, 0, 0.599456, 0.509662, 0.525492
zoddfreqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.508026, 0.523681
zoddfreqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.50649, 0.521971
zoddfreqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.505056, 0.52037
zoddfreqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.503727, 0.518881
zoddfreqs:, 53, 0.553763, 0.446237, 0, 0.587278, 0.502506, 0.517508
zoddfreqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.501394, 0.516256
zoddfreqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.500393, 0.515128
zoddfreqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.499506, 0.514126
zoddfreqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.498734, 0.513253
zoddfreqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.498078, 0.512511
zoddfreqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.497539, 0.511902
zoddfreqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.497119, 0.511427
zoddfreqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.496819, 0.511086
zoddfreqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.496638, 0.510882
zoddfreqs:, 63, 0.5, 0.5, 0, 0.57735, 0.496578, 0.510813
zoddfreqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.489502, 0.517593
zoddfreqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.477858, 0.528341
zoddfreqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.465328, 0.52454
zoddfreqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.452324, 0.506108
zoddfreqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.438939, 0.487695
zoddfreqs:, 69, 0.403226, 0.403226, 0, 0.465605, 0.425203, 0.46931
zoddfreqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.411129, 0.45096
zoddfreqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.396726, 0.432653
zoddfreqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.381998, 0.4144
zoddfreqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.366949, 0.396211
zoddfreqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.351584, 0.378104
zoddfreqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.335908, 0.360096
zoddfreqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.319924, 0.34221
zoddfreqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.303638, 0.324472
zoddfreqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.287056, 0.306907
zoddfreqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.270191, 0.289541
zoddfreqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.253061, 0.272397
zoddfreqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.235692, 0.255495
zoddfreqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.218114, 0.238857
zoddfreqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.200362, 0.222512
zoddfreqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.182467, 0.206499
zoddfreqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.164456, 0.190881
zoddfreqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.146355, 0.175746
zoddfreqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.128183, 0.161219
zoddfreqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.109955, 0.147474
zoddfreqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0916851, 0.134749
zoddfreqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0733827, 0.123361
zoddfreqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.0550564, 0.113714
zoddfreqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0367132, 0.106286
zoddfreqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0183592, 0.101568
zoddfreqs:, 94, 0, 0, 0, 0, 0, 0.0999452
