freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0900617, 0.0901085, 0.0992355, 0.0992401
freqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0202232, 0.0207181, 0.0921636, 0.0925838, 0.101204, 0.101503
freqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0403507, 0.041389, 0.0981924, 0.0996699, 0.106883, 0.108017
freqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0602755, 0.0619585, 0.107566, 0.110472, 0.115734, 0.118074
freqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0798714, 0.0823577, 0.11962, 0.124018, 0.127112, 0.130854
freqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0989979, 0.102494, 0.133801, 0.139506, 0.140447, 0.145636
freqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.117527, 0.122242, 0.149703, 0.15532, 0.15635, 0.161862
freqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.135393, 0.141452, 0.167005, 0.171464, 0.174149, 0.179129
freqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.152619, 0.15997, 0.185411, 0.188715, 0.192627, 0.197149
freqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.169292, 0.177698, 0.204645, 0.206941, 0.211593, 0.215713
freqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.185519, 0.194627, 0.224469, 0.225982, 0.230908, 0.234668
freqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.201387, 0.210823, 0.244707, 0.245656, 0.250471, 0.253892
freqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.216961, 0.226382, 0.265234, 0.265794, 0.270199, 0.273279
freqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.23228, 0.241398, 0.285966, 0.28626, 0.290024, 0.292729
freqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.247369, 0.255947, 0.306845, 0.306957, 0.309876, 0.31213
freqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.262243, 0.27009, 0.327819, 0.327834, 0.329686, 0.331341
freqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.276905, 0.283877, 0.348799, 0.348904, 0.349371, 0.350175
freqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.291349, 0.297343, 0.368395, 0.368825, 0.369866, 0.370037
freqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.305562, 0.310516, 0.38575, 0.387917, 0.390998, 0.391218
freqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.319521, 0.323411, 0.402059, 0.406485, 0.412178, 0.412436
freqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.33319, 0.336037, 0.417264, 0.424354, 0.433394, 0.433683
freqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.346519, 0.348391, 0.431399, 0.441358, 0.454635, 0.454948
freqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.359438, 0.360459, 0.444487, 0.457373, 0.47589, 0.476224
freqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.371851, 0.372214, 0.456456, 0.47232, 0.497147, 0.497496
freqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.383618, 0.383627, 0.466918, 0.48614, 0.49103, 0.518728
freqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.39459, 0.394611, 0.473866, 0.487672, 0.498762, 0.539727
freqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.404509, 0.405114, 0.472801, 0.491298, 0.510071, 0.551163
freqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.413103, 0.415019, 0.467771, 0.497698, 0.519875, 0.547455
freqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.420058, 0.424188, 0.462113, 0.503354, 0.527903, 0.5439
freqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.425097, 0.432455, 0.456439, 0.507515, 0.533847, 0.541417
freqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.428069, 0.439629, 0.450905, 0.509981, 0.537517, 0.540002
freqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.429035, 0.445505, 0.445597, 0.510788, 0.538952, 0.539345
freqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.428787, 0.44293, 0.448029, 0.510577, 0.538689, 0.53942
freqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.428152, 0.440419, 0.450099, 0.510037, 0.538386, 0.539129
freqs:, 35, 0.650538, 0.349462, 0, 0.651137, 0.427179, 0.437973, 0.451804, 0.509207, 0.537992, 0.538545
freqs:, 36, 0.645161, 0.354839, 0, 0.646236, 0.425922, 0.435595, 0.453153, 0.508128, 0.537481, 0.537734
freqs:, 37, 0.639785, 0.360215, 0, 0.641477, 0.42443, 0.433288, 0.45416, 0.50684, 0.536754, 0.536844
freqs:, 38, 0.634409, 0.365591, 0, 0.636864, 0.42275, 0.431054, 0.454847, 0.50538, 0.535653, 0.536084
freqs:, 39, 0.629032, 0.370968, 0, 0.632401, 0.420924, 0.428893, 0.455243, 0.503783, 0.53447, 0.535218
freqs:, 40, 0.623656, 0.376344, 0, 0.62809, 0.41899, 0.426809, 0.455379, 0.502082, 0.533238, 0.534262
freqs:, 41, 0.61828, 0.38172, 0, 0.623934, 0.416982, 0.424803, 0.455287, 0.500305, 0.531983, 0.533239
freqs:, 42, 0.612903, 0.387097, 0, 0.619937, 0.414928, 0.422877, 0.455002, 0.498477, 0.530724, 0.532166
freqs:, 43, 0.607527, 0.392473, 0, 0.616102, 0.412854, 0.421031, 0.454556, 0.496623, 0.529479, 0.531062
freqs:, 44, 0.602151, 0.397849, 0, 0.612431, 0.410782, 0.419267, 0.453979, 0.494763, 0.528261, 0.529943
freqs:, 45, 0.596774, 0.403226, 0, 0.608929, 0.408731, 0.417587, 0.453301, 0.492913, 0.527081, 0.528823
freqs:, 46, 0.591398, 0.408602, 0, 0.605597, 0.406718, 0.415992, 0.452547, 0.491092, 0.525947, 0.527714
freqs:, 47, 0.586022, 0.413978, 0, 0.602438, 0.404759, 0.414482, 0.451741, 0.489312, 0.524867, 0.526626
freqs:, 48, 0.580645, 0.419355, 0, 0.599456, 0.402866, 0.413059, 0.450902, 0.487587, 0.523845, 0.525568
freqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.40105, 0.411724, 0.450049, 0.485928, 0.522887, 0.524549
freqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.399322, 0.410478, 0.449199, 0.484344, 0.521995, 0.523575
freqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.39769, 0.409321, 0.448364, 0.482846, 0.521173, 0.522652
freqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.396162, 0.408254, 0.447558, 0.48144, 0.52042, 0.521786
freqs:, 53, 0.553763, 0.446237, 0, 0.587278, 0.394746, 0.407278, 0.446791, 0.480134, 0.519739, 0.52098
freqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.393448, 0.406393, 0.446073, 0.478935, 0.519129, 0.52024
freqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.392273, 0.405601, 0.445411, 0.477847, 0.518589, 0.519568
freqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.391225, 0.4049, 0.444812, 0.476877, 0.518119, 0.518969
freqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.390309, 0.404293, 0.444281, 0.476027, 0.517718, 0.518444
freqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.389528, 0.403778, 0.443825, 0.475302, 0.517383, 0.517996
freqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.388885, 0.403356, 0.443446, 0.474705, 0.517112, 0.517627
freqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.388383, 0.403028, 0.443148, 0.474238, 0.516904, 0.517338
freqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.388023, 0.402794, 0.442934, 0.473903, 0.516756, 0.517131
freqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.387807, 0.402653, 0.442805, 0.473701, 0.516669, 0.517006
freqs:, 63, 0.5, 0.5, 0, 0.57735, 0.387734, 0.402606, 0.442761, 0.473634, 0.51664, 0.516965
freqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.386473, 0.400128, 0.445115, 0.472442, 0.512336, 0.517582
freqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.38282, 0.393895, 0.45097, 0.46897, 0.5028, 0.520012
freqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.377107, 0.385675, 0.458559, 0.463472, 0.491569, 0.520709
freqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.36974, 0.376435, 0.456264, 0.466908, 0.479377, 0.505329
freqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.361098, 0.366609, 0.447635, 0.466408, 0.475568, 0.487107
