zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2
zevenfreqs:, 1, 0, 0, 0, 0, 0, 0.0900617
zevenfreqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0202232, 0.0921636
zevenfreqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0403507, 0.0981924
zevenfreqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0602755, 0.107566
zevenfreqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0798715, 0.11962
zevenfreqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0989979, 0.133801
zevenfreqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.117527, 0.149703
zevenfreqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.135393, 0.167005
zevenfreqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.152619, 0.185411
zevenfreqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.169292, 0.204645
zevenfreqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.185519, 0.224469
zevenfreqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.201387, 0.244707
zevenfreqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.216961, 0.265234
zevenfreqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.23228, 0.285966
zevenfreqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.24737, 0.306845
zevenfreqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.262243, 0.327834
zevenfreqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.276905, 0.348904
zevenfreqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.291349, 0.370037
zevenfreqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.305562, 0.391218
zevenfreqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.319521, 0.406486
zevenfreqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.33319, 0.424354
zevenfreqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.346519, 0.441359
zevenfreqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.359438, 0.457374
zevenfreqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.371852, 0.472321
zevenfreqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.383627, 0.486141
zevenfreqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.39459, 0.498763
zevenfreqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.404509, 0.510072
zevenfreqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.413103, 0.519876
zevenfreqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.420058, 0.527904
zevenfreqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.425097, 0.533849
zevenfreqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.428069, 0.537518
zevenfreqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.429035, 0.538953
zevenfreqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.428788, 0.538691
zevenfreqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.428152, 0.538387
zevenfreqs:, 35, 0.650538, 0.349462, 0, 0.651137, 0.427179, 0.537994
zevenfreqs:, 36, 0.645161, 0.354839, 0, 0.646236, 0.425922, 0.537483
zevenfreqs:, 37, 0.639785, 0.360215, 0, 0.641477, 0.42443, 0.536845
zevenfreqs:, 38, 0.634409, 0.365591, 0, 0.636864, 0.42275, 0.536086
zevenfreqs:, 39, 0.629032, 0.370968, 0, 0.632401, 0.420924, 0.535219
zevenfreqs:, 40, 0.623656, 0.376344, 0, 0.62809, 0.41899, 0.534264
zevenfreqs:, 41, 0.61828, 0.38172, 0, 0.623934, 0.416982, 0.53324
zevenfreqs:, 42, 0.612903, 0.387097, 0, 0.619937, 0.414928, 0.532167
zevenfreqs:, 43, 0.607527, 0.392473, 0, 0.616102, 0.412854, 0.531063
zevenfreqs:, 44, 0.602151, 0.397849, 0, 0.612431, 0.410782, 0.529944
zevenfreqs:, 45, 0.596774, 0.403226, 0, 0.608929, 0.408731, 0.528824
zevenfreqs:, 46, 0.591398, 0.408602, 0, 0.605597, 0.406719, 0.527715
zevenfreqs:, 47, 0.586022, 0.413978, 0, 0.602438, 0.404759, 0.526627
zevenfreqs:, 48, 0.580645, 0.419355, 0, 0.599456, 0.402866, 0.525569
zevenfreqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.40105, 0.52455
zevenfreqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.399322, 0.523576
zevenfreqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.39769, 0.522653
zevenfreqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.396162, 0.521787
zevenfreqs:, 53, 0.553763, 0.446237, 0, 0.587278, 0.394747, 0.520981
zevenfreqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.393448, 0.520241
zevenfreqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.392273, 0.51957
zevenfreqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.391225, 0.51897
zevenfreqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.390309, 0.518445
zevenfreqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.389528, 0.517997
zevenfreqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.388885, 0.517628
zevenfreqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.388383, 0.517339
zevenfreqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.388023, 0.517132
zevenfreqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.387807, 0.517008
zevenfreqs:, 63, 0.5, 0.5, 0, 0.57735, 0.387734, 0.516966
zevenfreqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.386473, 0.512337
zevenfreqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.38282, 0.502801
zevenfreqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.377107, 0.49157
zevenfreqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.36974, 0.479378
zevenfreqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.361098, 0.466409
zevenfreqs:, 69, 0.403226, 0.403226, 0, 0.465605, 0.351489, 0.452717
