freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0882392, 0.0882948, 0.0997968, 0.0997977
freqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0200543, 0.0210184, 0.0903023, 0.0908447, 0.101877, 0.102078
freqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0399694, 0.042016, 0.0962208, 0.0981311, 0.107873, 0.108635
freqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0595831, 0.0629697, 0.10545, 0.1092, 0.11718, 0.11876
freqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0786948, 0.0838511, 0.117384, 0.123034, 0.129078, 0.131633
freqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0970778, 0.104623, 0.131542, 0.138806, 0.142917, 0.146529
freqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.114547, 0.125236, 0.147565, 0.155929, 0.158198, 0.162894
freqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.131051, 0.145619, 0.16511, 0.174001, 0.174565, 0.180325
freqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.146688, 0.165682, 0.183809, 0.191791, 0.192755, 0.198542
freqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.161619, 0.18531, 0.203318, 0.209742, 0.212006, 0.217344
freqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.175994, 0.204385, 0.223373, 0.228338, 0.231627, 0.236588
freqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.189925, 0.222808, 0.243795, 0.247519, 0.251529, 0.256173
freqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.203491, 0.240523, 0.264467, 0.26721, 0.271646, 0.276021
freqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.216747, 0.257519, 0.285314, 0.287318, 0.291929, 0.296075
freqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.229737, 0.273812, 0.306286, 0.307747, 0.312339, 0.316288
freqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.242495, 0.289432, 0.327352, 0.328417, 0.332846, 0.336623
freqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.255046, 0.304413, 0.348488, 0.349263, 0.353424, 0.357047
freqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.267411, 0.318795, 0.369678, 0.370239, 0.374049, 0.377527
freqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.279607, 0.332618, 0.390911, 0.391312, 0.394697, 0.398028
freqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.291646, 0.345927, 0.412177, 0.412458, 0.415338, 0.418501
freqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.303535, 0.358767, 0.433471, 0.433661, 0.435926, 0.438876
freqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.315277, 0.371182, 0.454783, 0.454906, 0.456352, 0.459021
freqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.32687, 0.383213, 0.47607, 0.476089, 0.476187, 0.478649
