freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0882593, 0.0882935, 0.0992723, 0.0992752
freqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.019974, 0.0208817, 0.0903318, 0.0908294, 0.101304, 0.10154
freqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0398106, 0.0417326, 0.0962943, 0.0980651, 0.107161, 0.108055
freqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0593546, 0.062518, 0.105601, 0.109061, 0.116267, 0.118114
freqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0784239, 0.0831949, 0.117641, 0.122807, 0.127936, 0.130895
freqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.0968284, 0.103707, 0.131915, 0.138484, 0.141552, 0.145677
freqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.114431, 0.12398, 0.148029, 0.155502, 0.156648, 0.1619
freqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.131218, 0.143915, 0.165618, 0.172909, 0.173461, 0.179159
freqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.147289, 0.163401, 0.184318, 0.190139, 0.19209, 0.197162
freqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.162795, 0.182332, 0.203803, 0.208216, 0.211201, 0.215699
freqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.177868, 0.200641, 0.223823, 0.227037, 0.230665, 0.234606
freqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.192604, 0.218323, 0.244208, 0.246486, 0.250385, 0.253749
freqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.207069, 0.235424, 0.264845, 0.26643, 0.270288, 0.273002
freqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.221306, 0.252014, 0.285659, 0.286746, 0.290315, 0.292225
freqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.235347, 0.26816, 0.306603, 0.307333, 0.310413, 0.311235
freqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.249212, 0.283922, 0.327642, 0.328117, 0.329778, 0.330534
freqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.262915, 0.299349, 0.347516, 0.348754, 0.349043, 0.350623
freqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.276461, 0.314482, 0.364113, 0.369922, 0.370074, 0.370618
freqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.289855, 0.329352, 0.379411, 0.390439, 0.391135, 0.391183
freqs:, 20, 0.408602, 0.204301, 0, 0.408602, 0.30309, 0.343982, 0.393499, 0.409984, 0.412351, 0.412383
freqs:, 21, 0.430108, 0.215054, 0, 0.430108, 0.316155, 0.35839, 0.406586, 0.429114, 0.433565, 0.433658
freqs:, 22, 0.451613, 0.225806, 0, 0.451613, 0.329032, 0.372585, 0.418858, 0.447653, 0.454812, 0.454955
freqs:, 23, 0.473118, 0.236559, 0, 0.473118, 0.341688, 0.386568, 0.430437, 0.465374, 0.476084, 0.476264
freqs:, 24, 0.494624, 0.247312, 0, 0.494624, 0.354076, 0.40033, 0.441381, 0.481963, 0.497371, 0.497563
freqs:, 25, 0.516129, 0.258065, 0, 0.516129, 0.36612, 0.413852, 0.451689, 0.496833, 0.518158, 0.51866
freqs:, 26, 0.537634, 0.268817, 0, 0.537634, 0.377706, 0.427097, 0.461306, 0.508457, 0.513797, 0.539913
freqs:, 27, 0.55914, 0.27957, 0, 0.55914, 0.388653, 0.440002, 0.470112, 0.506734, 0.513838, 0.525418
freqs:, 28, 0.580645, 0.290323, 0, 0.580645, 0.398677, 0.452462, 0.477916, 0.50056, 0.513062, 0.518243
freqs:, 29, 0.602151, 0.301075, 0, 0.602151, 0.407343, 0.464297, 0.484451, 0.495832, 0.509625, 0.511288
freqs:, 30, 0.623656, 0.311828, 0, 0.623656, 0.414058, 0.475195, 0.489405, 0.493188, 0.504576, 0.505349
freqs:, 31, 0.645161, 0.322581, 0, 0.645161, 0.418216, 0.484628, 0.492504, 0.49325, 0.498138, 0.500849
freqs:, 32, 0.666667, 0.333333, 0, 0.666667, 0.41957, 0.491797, 0.491836, 0.493842, 0.496227, 0.496407
freqs:, 33, 0.66129, 0.33871, 0, 0.661356, 0.419251, 0.488858, 0.493706, 0.494014, 0.494325, 0.498962
freqs:, 34, 0.655914, 0.344086, 0, 0.656178, 0.418406, 0.485964, 0.491842, 0.493213, 0.495995, 0.502072
freqs:, 35, 0.650538, 0.349462, 0, 0.651137, 0.417132, 0.483143, 0.489716, 0.492388, 0.496866, 0.505632
freqs:, 36, 0.645161, 0.354839, 0, 0.646236, 0.415524, 0.4804, 0.487642, 0.491283, 0.497023, 0.509537
freqs:, 37, 0.639785, 0.360215, 0, 0.641477, 0.413664, 0.47774, 0.485624, 0.489947, 0.496588, 0.513688
freqs:, 38, 0.634409, 0.365591, 0, 0.636864, 0.411621, 0.475164, 0.483664, 0.488429, 0.495695, 0.517992
freqs:, 39, 0.629032, 0.370968, 0, 0.632401, 0.409454, 0.472675, 0.481766, 0.486772, 0.494463, 0.522356
freqs:, 40, 0.623656, 0.376344, 0, 0.62809, 0.407208, 0.470276, 0.479933, 0.485013, 0.492992, 0.526682
freqs:, 41, 0.61828, 0.38172, 0, 0.623934, 0.40492, 0.467967, 0.478166, 0.483184, 0.491359, 0.53086
freqs:, 42, 0.612903, 0.387097, 0, 0.619937, 0.402622, 0.465752, 0.476468, 0.481312, 0.489626, 0.534758
freqs:, 43, 0.607527, 0.392473, 0, 0.616102, 0.400336, 0.463632, 0.47484, 0.479422, 0.487837, 0.538222
freqs:, 44, 0.602151, 0.397849, 0, 0.612431, 0.398084, 0.461609, 0.473284, 0.477534, 0.48603, 0.541092
freqs:, 45, 0.596774, 0.403226, 0, 0.608929, 0.395882, 0.459683, 0.471801, 0.475664, 0.48423, 0.54325
freqs:, 46, 0.591398, 0.408602, 0, 0.605597, 0.393744, 0.457858, 0.470392, 0.473827, 0.482459, 0.544666
freqs:, 47, 0.586022, 0.413978, 0, 0.602438, 0.391682, 0.456134, 0.469059, 0.472038, 0.480735, 0.545418
freqs:, 48, 0.580645, 0.419355, 0, 0.599456, 0.389706, 0.454511, 0.467802, 0.470307, 0.479071, 0.545645
freqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.387824, 0.452992, 0.466623, 0.468645, 0.477478, 0.545499
freqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.386045, 0.451578, 0.465521, 0.46706, 0.475966, 0.545104
freqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.384374, 0.450267, 0.464499, 0.465562, 0.474541, 0.544557
freqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.382818, 0.449062, 0.463557, 0.464156, 0.473211, 0.543925
