zevenyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyodd band 1, zevenyodd band 2, zevenyodd band 3, zevenyodd band 4
zevenyoddfreqs:, 1, 0, 0, 0, 0, 0, 0.0663255, 0.0666206, 0.0938453
zevenyoddfreqs:, 2, 0.016129, 0, 0, 0.016129, 0.0160883, 0.0682177, 0.0685476, 0.0951913
zevenyoddfreqs:, 3, 0.0322581, 0, 0, 0.0322581, 0.0321737, 0.073599, 0.0740271, 0.0991397
zevenyoddfreqs:, 4, 0.0483871, 0, 0, 0.0483871, 0.048259, 0.0817887, 0.0823483, 0.105452
zevenyoddfreqs:, 5, 0.0645161, 0, 0, 0.0645161, 0.0643416, 0.0920334, 0.0927502, 0.113718
zevenyoddfreqs:, 6, 0.0806452, 0, 0, 0.0806452, 0.08042, 0.103719, 0.104614, 0.123539
zevenyoddfreqs:, 7, 0.0967742, 0, 0, 0.0967742, 0.0964929, 0.116405, 0.117498, 0.134567
zevenyoddfreqs:, 8, 0.112903, 0, 0, 0.112903, 0.112559, 0.129789, 0.131102, 0.146527
zevenyoddfreqs:, 9, 0.129032, 0, 0, 0.129032, 0.128615, 0.143664, 0.145224, 0.159203
zevenyoddfreqs:, 10, 0.145161, 0, 0, 0.145161, 0.144656, 0.157886, 0.159726, 0.172433
zevenyoddfreqs:, 11, 0.16129, 0, 0, 0.16129, 0.160675, 0.172352, 0.174514, 0.186096
zevenyoddfreqs:, 12, 0.177419, 0, 0, 0.177419, 0.176652, 0.186947, 0.189521, 0.199695
zevenyoddfreqs:, 13, 0.193548, 0, 0, 0.193548, 0.19259, 0.201679, 0.204698, 0.213952
zevenyoddfreqs:, 14, 0.209677, 0, 0, 0.209677, 0.208465, 0.216528, 0.220011, 0.228433
zevenyoddfreqs:, 15, 0.225806, 0, 0, 0.225806, 0.224242, 0.231464, 0.235433, 0.243066
zevenyoddfreqs:, 16, 0.241935, 0, 0, 0.241935, 0.239772, 0.246428, 0.250944, 0.257908
zevenyoddfreqs:, 17, 0.258065, 0, 0, 0.258065, 0.255114, 0.261566, 0.26653, 0.27197
zevenyoddfreqs:, 18, 0.274194, 0, 0, 0.274194, 0.269853, 0.276933, 0.282175, 0.287053
zevenyoddfreqs:, 19, 0.290323, 0, 0, 0.290323, 0.284357, 0.292488, 0.297871, 0.302269
zevenyoddfreqs:, 20, 0.306452, 0, 0, 0.306452, 0.298495, 0.308174, 0.313612, 0.31759
zevenyoddfreqs:, 21, 0.322581, 0, 0, 0.322581, 0.312132, 0.324002, 0.32939, 0.333016
zevenyoddfreqs:, 22, 0.33871, 0, 0, 0.33871, 0.32544, 0.339912, 0.345201, 0.348524
zevenyoddfreqs:, 23, 0.354839, 0, 0, 0.354839, 0.338393, 0.355881, 0.361039, 0.364105
zevenyoddfreqs:, 24, 0.370968, 0, 0, 0.370968, 0.351035, 0.371888, 0.376903, 0.379746
zevenyoddfreqs:, 25, 0.387097, 0, 0, 0.387097, 0.363372, 0.387922, 0.392788, 0.395439
zevenyoddfreqs:, 26, 0.403226, 0, 0, 0.403226, 0.375427, 0.403974, 0.408692, 0.411175
zevenyoddfreqs:, 27, 0.419355, 0, 0, 0.419355, 0.38721, 0.420039, 0.424612, 0.426948
zevenyoddfreqs:, 28, 0.435484, 0, 0, 0.435484, 0.398731, 0.436115, 0.440548, 0.442753
zevenyoddfreqs:, 29, 0.451613, 0, 0, 0.451613, 0.410005, 0.452198, 0.456498, 0.458585
zevenyoddfreqs:, 30, 0.467742, 0, 0, 0.467742, 0.421038, 0.468287, 0.472459, 0.47444
zevenyoddfreqs:, 31, 0.483871, 0, 0, 0.483871, 0.431843, 0.484381, 0.488431, 0.490315
zevenyoddfreqs:, 32, 0.5, 0, 0, 0.5, 0.442429, 0.500479, 0.504413, 0.506207
