zoddyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyeven band 1, zoddyeven band 2, zoddyeven band 3, zoddyeven band 4
zoddyevenfreqs:, 1, 0, 0, 0, 0, 0, 0.0664285, 0.066664, 0.0939469
zoddyevenfreqs:, 2, 0.016129, 0, 0, 0.016129, 0.0160971, 0.068329, 0.0685875, 0.0953013
zoddyevenfreqs:, 3, 0.0322581, 0, 0, 0.0322581, 0.0321937, 0.0737365, 0.0740589, 0.0992538
zoddyevenfreqs:, 4, 0.0483871, 0, 0, 0.0483871, 0.0482892, 0.081958, 0.082374, 0.105512
zoddyevenfreqs:, 5, 0.0645161, 0, 0, 0.0645161, 0.064383, 0.092241, 0.0927712, 0.113696
zoddyevenfreqs:, 6, 0.0806452, 0, 0, 0.0806452, 0.0804744, 0.103972, 0.104632, 0.123421
zoddyevenfreqs:, 7, 0.0967742, 0, 0, 0.0967742, 0.0965624, 0.116709, 0.117513, 0.134352
zoddyevenfreqs:, 8, 0.112903, 0, 0, 0.112903, 0.112646, 0.130152, 0.131115, 0.146216
zoddyevenfreqs:, 9, 0.129032, 0, 0, 0.129032, 0.128724, 0.144096, 0.145236, 0.158804
zoddyevenfreqs:, 10, 0.145161, 0, 0, 0.145161, 0.144793, 0.1584, 0.159737, 0.171954
zoddyevenfreqs:, 11, 0.16129, 0, 0, 0.16129, 0.160852, 0.172966, 0.174524, 0.185547
zoddyevenfreqs:, 12, 0.177419, 0, 0, 0.177419, 0.176897, 0.187723, 0.18953, 0.19949
zoddyevenfreqs:, 13, 0.193548, 0, 0, 0.193548, 0.192921, 0.202616, 0.204707, 0.213715
zoddyevenfreqs:, 14, 0.209677, 0, 0, 0.209677, 0.208916, 0.217605, 0.220019, 0.228169
zoddyevenfreqs:, 15, 0.225806, 0, 0, 0.225806, 0.224868, 0.232662, 0.235441, 0.242813
zoddyevenfreqs:, 16, 0.241935, 0, 0, 0.241935, 0.240755, 0.247766, 0.250951, 0.257617
zoddyevenfreqs:, 17, 0.258065, 0, 0, 0.258065, 0.256538, 0.262916, 0.266535, 0.272559
zoddyevenfreqs:, 18, 0.274194, 0, 0, 0.274194, 0.27216, 0.278127, 0.28218, 0.287623
zoddyevenfreqs:, 19, 0.290323, 0, 0, 0.290323, 0.287543, 0.29344, 0.297877, 0.302796
zoddyevenfreqs:, 20, 0.306452, 0, 0, 0.306452, 0.302603, 0.308895, 0.313617, 0.318068
zoddyevenfreqs:, 21, 0.322581, 0, 0, 0.322581, 0.317287, 0.324512, 0.329395, 0.333431
zoddyevenfreqs:, 22, 0.33871, 0, 0, 0.33871, 0.331579, 0.340268, 0.345206, 0.348875
zoddyevenfreqs:, 23, 0.354839, 0, 0, 0.354839, 0.34549, 0.356128, 0.361045, 0.364392
zoddyevenfreqs:, 24, 0.370968, 0, 0, 0.370968, 0.359029, 0.372062, 0.376908, 0.379973
zoddyevenfreqs:, 25, 0.387097, 0, 0, 0.387097, 0.372204, 0.388044, 0.392793, 0.395612
zoddyevenfreqs:, 26, 0.403226, 0, 0, 0.403226, 0.38502, 0.40406, 0.408697, 0.4113
zoddyevenfreqs:, 27, 0.419355, 0, 0, 0.419355, 0.397479, 0.420099, 0.424618, 0.42703
zoddyevenfreqs:, 28, 0.435484, 0, 0, 0.435484, 0.409583, 0.436155, 0.440553, 0.442798
zoddyevenfreqs:, 29, 0.451613, 0, 0, 0.451613, 0.421322, 0.452224, 0.456503, 0.458596
zoddyevenfreqs:, 30, 0.467742, 0, 0, 0.467742, 0.432655, 0.468302, 0.472463, 0.474423
zoddyevenfreqs:, 31, 0.483871, 0, 0, 0.483871, 0.443419, 0.46644, 0.484386, 0.488437
zoddyevenfreqs:, 32, 0.5, 0, 0, 0.5, 0.450803, 0.459374, 0.500476, 0.504419
