freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8, band 9, band 10
freqs:, 1, 0.435, 0, 0, 0.435, 0.384069, 0.403668, 0.407881, 0.433661, 0.435555, 0.435666, 0.439962, 0.44005, 0.440053, 0.440075
freqs:, 2, 0.436585, 0, 0, 0.436585, 0.385049, 0.404488, 0.409041, 0.434863, 0.437136, 0.437245, 0.441528, 0.441614, 0.441619, 0.441642
freqs:, 3, 0.438171, 0, 0, 0.438171, 0.386024, 0.405301, 0.410198, 0.436054, 0.438717, 0.438824, 0.443094, 0.443178, 0.443186, 0.443209
freqs:, 4, 0.439756, 0, 0, 0.439756, 0.386995, 0.406106, 0.411351, 0.437232, 0.440297, 0.440404, 0.444659, 0.444742, 0.444753, 0.444776
freqs:, 5, 0.441341, 0, 0, 0.441341, 0.387961, 0.406902, 0.4125, 0.438397, 0.441878, 0.441983, 0.446225, 0.446304, 0.446321, 0.446343
freqs:, 6, 0.442927, 0, 0, 0.442927, 0.388923, 0.407689, 0.413646, 0.439551, 0.443458, 0.443563, 0.447789, 0.447862, 0.447888, 0.447911
freqs:, 7, 0.444512, 0, 0, 0.444512, 0.38988, 0.408468, 0.414789, 0.440694, 0.445038, 0.445142, 0.449349, 0.449413, 0.449456, 0.449479
freqs:, 8, 0.446098, 0, 0, 0.446098, 0.390832, 0.409237, 0.415928, 0.441824, 0.446617, 0.446722, 0.450872, 0.450952, 0.451023, 0.451046
freqs:, 9, 0.447683, 0, 0, 0.447683, 0.391779, 0.409995, 0.417064, 0.442943, 0.448194, 0.448302, 0.451923, 0.452504, 0.452591, 0.452614
freqs:, 10, 0.449268, 0, 0, 0.449268, 0.392721, 0.410744, 0.418196, 0.444051, 0.449763, 0.449881, 0.451886, 0.454067, 0.454159, 0.454182
freqs:, 11, 0.450854, 0, 0, 0.450854, 0.393658, 0.411481, 0.419324, 0.445147, 0.451201, 0.451461, 0.451708, 0.455631, 0.455727, 0.455751
freqs:, 12, 0.452439, 0, 0, 0.452439, 0.394589, 0.412207, 0.420449, 0.446232, 0.451103, 0.452983, 0.453041, 0.457193, 0.457295, 0.457319
freqs:, 13, 0.454024, 0, 0, 0.454024, 0.395514, 0.41292, 0.42157, 0.447305, 0.450669, 0.454548, 0.454622, 0.458752, 0.458863, 0.458887
freqs:, 14, 0.45561, 0, 0, 0.45561, 0.396433, 0.413621, 0.422688, 0.448366, 0.450191, 0.456124, 0.456202, 0.460304, 0.460431, 0.460456
freqs:, 15, 0.457195, 0, 0, 0.457195, 0.397346, 0.414307, 0.423802, 0.449414, 0.449684, 0.457703, 0.457782, 0.461826, 0.462, 0.462024
freqs:, 16, 0.45878, 0, 0, 0.45878, 0.398252, 0.414978, 0.424912, 0.449158, 0.45045, 0.459281, 0.459362, 0.463063, 0.463568, 0.463593
freqs:, 17, 0.460366, 0, 0, 0.460366, 0.399151, 0.415633, 0.426019, 0.448617, 0.451472, 0.460857, 0.460943, 0.463123, 0.465137, 0.465162
freqs:, 18, 0.461951, 0, 0, 0.461951, 0.400043, 0.416271, 0.427122, 0.448066, 0.45248, 0.462388, 0.462523, 0.462844, 0.466706, 0.466731
freqs:, 19, 0.463537, 0, 0, 0.463537, 0.400927, 0.41689, 0.42822, 0.447508, 0.453471, 0.462378, 0.464044, 0.464104, 0.468275, 0.4683
freqs:, 20, 0.465122, 0, 0, 0.465122, 0.401802, 0.417489, 0.429315, 0.446947, 0.454445, 0.461971, 0.465618, 0.465684, 0.469844, 0.469869
freqs:, 21, 0.466707, 0, 0, 0.466707, 0.402669, 0.418066, 0.430406, 0.446386, 0.455399, 0.461547, 0.467197, 0.467265, 0.471413, 0.471438
freqs:, 22, 0.468293, 0, 0, 0.468293, 0.403525, 0.41862, 0.431492, 0.445827, 0.45633, 0.461115, 0.468777, 0.468846, 0.472982, 0.473006
freqs:, 23, 0.469878, 0, 0, 0.469878, 0.404372, 0.419148, 0.432574, 0.445274, 0.457232, 0.460681, 0.470359, 0.470426, 0.473466, 0.474552
freqs:, 24, 0.471463, 0, 0, 0.471463, 0.405206, 0.419648, 0.433652, 0.44473, 0.458099, 0.460247, 0.47194, 0.472007, 0.472695, 0.476121
freqs:, 25, 0.473049, 0, 0, 0.473049, 0.406029, 0.420118, 0.434725, 0.444197, 0.458921, 0.459816, 0.471903, 0.473521, 0.473588, 0.47769
freqs:, 26, 0.474634, 0, 0, 0.474634, 0.406838, 0.420556, 0.435793, 0.443679, 0.459391, 0.459684, 0.471146, 0.475103, 0.475169, 0.47926
freqs:, 27, 0.47622, 0, 0, 0.47622, 0.407632, 0.420959, 0.436855, 0.443179, 0.458974, 0.460365, 0.470452, 0.476684, 0.47675, 0.480829
freqs:, 28, 0.477805, 0, 0, 0.477805, 0.40841, 0.421325, 0.437912, 0.4427, 0.458568, 0.460932, 0.469853, 0.478266, 0.478331, 0.482399
freqs:, 29, 0.47939, 0, 0, 0.47939, 0.409169, 0.421651, 0.438962, 0.442245, 0.458174, 0.461343, 0.469394, 0.479848, 0.479912, 0.483969
freqs:, 30, 0.480976, 0, 0, 0.480976, 0.409907, 0.421935, 0.440006, 0.441816, 0.457796, 0.461551, 0.46912, 0.48143, 0.481493, 0.485539
freqs:, 31, 0.482561, 0, 0, 0.482561, 0.410622, 0.422175, 0.441042, 0.441417, 0.457435, 0.461523, 0.469062, 0.483011, 0.483074, 0.487109
freqs:, 32, 0.484146, 0, 0, 0.484146, 0.41131, 0.422371, 0.44105, 0.442068, 0.457093, 0.461265, 0.469215, 0.484593, 0.484655, 0.488678
freqs:, 33, 0.485732, 0, 0, 0.485732, 0.411968, 0.422523, 0.440718, 0.443085, 0.456775, 0.460814, 0.469537, 0.486175, 0.486236, 0.487709
freqs:, 34, 0.487317, 0, 0, 0.487317, 0.412591, 0.422631, 0.440421, 0.444088, 0.456481, 0.460223, 0.469974, 0.487038, 0.487757, 0.487821
freqs:, 35, 0.488902, 0, 0, 0.488902, 0.413172, 0.422699, 0.440162, 0.445075, 0.456214, 0.459538, 0.470475, 0.486379, 0.489339, 0.489401
freqs:, 36, 0.490488, 0, 0, 0.490488, 0.413706, 0.42273, 0.439939, 0.44604, 0.455977, 0.458797, 0.471, 0.485749, 0.49092, 0.490982
freqs:, 37, 0.492073, 0, 0, 0.492073, 0.414184, 0.422732, 0.439753, 0.446975, 0.455772, 0.458028, 0.471516, 0.485163, 0.492502, 0.492563
freqs:, 38, 0.493659, 0, 0, 0.493659, 0.414596, 0.422713, 0.439603, 0.447866, 0.455601, 0.457261, 0.471994, 0.48464, 0.494084, 0.494144
freqs:, 39, 0.495244, 0, 0, 0.495244, 0.414933, 0.422682, 0.439488, 0.448687, 0.455466, 0.456529, 0.472407, 0.484198, 0.495666, 0.495726
freqs:, 40, 0.496829, 0, 0, 0.496829, 0.415183, 0.42265, 0.439407, 0.44939, 0.455368, 0.455886, 0.472728, 0.48386, 0.497247, 0.497307
freqs:, 41, 0.498415, 0, 0, 0.498415, 0.415338, 0.422627, 0.439358, 0.449892, 0.455309, 0.455419, 0.472933, 0.483646, 0.498828, 0.498889
freqs:, 42, 0.5, 0, 0, 0.5, 0.415391, 0.422618, 0.439342, 0.450081, 0.455242, 0.455289, 0.473004, 0.483571, 0.500409, 0.50047
