freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0899049, 0.089905, 0.0998023, 0.0998023, 0.183302, 0.183302
freqs:, 2, 0.0238095, 0, 0, 0.0238095, 0.0224524, 0.023276, 0.0924424, 0.0929838, 0.10235, 0.102592, 0.184651, 0.184811
freqs:, 3, 0.047619, 0, 0, 0.047619, 0.0447663, 0.0465248, 0.0996948, 0.101662, 0.109635, 0.110538, 0.188649, 0.189268
freqs:, 4, 0.0714286, 0, 0, 0.0714286, 0.0667774, 0.0697156, 0.110829, 0.114674, 0.120796, 0.122643, 0.195163, 0.196469
freqs:, 5, 0.0952381, 0, 0, 0.0952381, 0.0882756, 0.0928094, 0.124983, 0.130732, 0.134869, 0.137813, 0.203994, 0.206127
freqs:, 6, 0.119048, 0, 0, 0.119048, 0.109015, 0.115753, 0.141518, 0.148849, 0.151045, 0.155151, 0.214912, 0.217911
freqs:, 7, 0.142857, 0, 0, 0.142857, 0.128789, 0.138474, 0.159989, 0.168349, 0.168753, 0.174008, 0.227676, 0.231493
freqs:, 8, 0.166667, 0, 0, 0.166667, 0.147536, 0.160868, 0.18001, 0.187564, 0.188845, 0.19394, 0.242052, 0.246574
freqs:, 9, 0.190476, 0, 0, 0.190476, 0.165352, 0.182804, 0.201178, 0.207314, 0.209994, 0.214644, 0.257823, 0.262889
freqs:, 10, 0.214286, 0, 0, 0.214286, 0.182399, 0.204136, 0.223133, 0.227852, 0.231633, 0.235914, 0.274785, 0.280218
freqs:, 11, 0.238095, 0, 0, 0.238095, 0.198815, 0.224736, 0.245608, 0.249094, 0.253631, 0.257606, 0.292757, 0.298374
freqs:, 12, 0.261905, 0, 0, 0.261905, 0.214693, 0.244535, 0.268425, 0.27094, 0.275899, 0.279617, 0.311575, 0.317199
freqs:, 13, 0.285714, 0, 0, 0.285714, 0.23009, 0.26352, 0.291473, 0.293272, 0.29837, 0.30187, 0.331096, 0.336487
freqs:, 14, 0.309524, 0, 0, 0.309524, 0.245033, 0.281715, 0.314679, 0.315968, 0.320995, 0.324306, 0.35119, 0.355801
freqs:, 15, 0.333333, 0, 0, 0.333333, 0.259517, 0.299154, 0.337998, 0.338928, 0.343736, 0.346877, 0.371739, 0.375496
freqs:, 16, 0.357143, 0, 0, 0.357143, 0.273507, 0.315878, 0.361395, 0.362078, 0.366559, 0.369538, 0.392594, 0.395701
freqs:, 17, 0.380952, 0, 0, 0.380952, 0.286916, 0.331926, 0.384839, 0.385363, 0.389437, 0.39224, 0.413346, 0.416365
freqs:, 18, 0.404762, 0, 0, 0.404762, 0.299569, 0.347335, 0.408229, 0.408748, 0.412341, 0.414897, 0.426937, 0.437425
freqs:, 19, 0.428571, 0, 0, 0.428571, 0.311133, 0.362125, 0.419082, 0.432205, 0.432337, 0.435202, 0.437555, 0.444237
freqs:, 20, 0.452381, 0, 0, 0.452381, 0.320971, 0.376256, 0.410907, 0.431895, 0.455697, 0.455722, 0.458168, 0.459714
freqs:, 21, 0.47619, 0, 0, 0.47619, 0.327954, 0.389373, 0.404665, 0.419888, 0.479269, 0.479279, 0.480517, 0.480965
freqs:, 22, 0.5, 0, 0, 0.5, 0.330559, 0.397533, 0.402289, 0.412093, 0.492685, 0.502813, 0.50283, 0.502918
freqs:, 23, 0.5, 0.0238095, 0, 0.500567, 0.330987, 0.397801, 0.402497, 0.41244, 0.493144, 0.503374, 0.503393, 0.503479
freqs:, 24, 0.5, 0.047619, 0, 0.502262, 0.332267, 0.398602, 0.403119, 0.413475, 0.494516, 0.505054, 0.505076, 0.50516
freqs:, 25, 0.5, 0.0714286, 0, 0.505076, 0.334385, 0.399927, 0.404153, 0.415187, 0.496782, 0.507841, 0.507864, 0.507945
freqs:, 26, 0.5, 0.0952381, 0, 0.508989, 0.337317, 0.401764, 0.405594, 0.417555, 0.499913, 0.511697, 0.511718, 0.511807
freqs:, 27, 0.5, 0.119048, 0, 0.513977, 0.341032, 0.404094, 0.407435, 0.420552, 0.503869, 0.516319, 0.516658, 0.516748
freqs:, 28, 0.5, 0.142857, 0, 0.520008, 0.345491, 0.406897, 0.409665, 0.424145, 0.508597, 0.521751, 0.52263, 0.522737
freqs:, 29, 0.5, 0.166667, 0, 0.527046, 0.35065, 0.410148, 0.412271, 0.428293, 0.51403, 0.52798, 0.529597, 0.529729
freqs:, 30, 0.5, 0.190476, 0, 0.535053, 0.356457, 0.413821, 0.415237, 0.432952, 0.520081, 0.534896, 0.53751, 0.537685
freqs:, 31, 0.5, 0.214286, 0, 0.543984, 0.362857, 0.417892, 0.418542, 0.438071, 0.526634, 0.542319, 0.545208, 0.546558
freqs:, 32, 0.5, 0.238095, 0, 0.553795, 0.369789, 0.422162, 0.422331, 0.443592, 0.533499, 0.549936, 0.553456, 0.555911
freqs:, 33, 0.5, 0.261905, 0, 0.564441, 0.377188, 0.426066, 0.427113, 0.449453, 0.540274, 0.557128, 0.560237, 0.5659
freqs:, 34, 0.5, 0.285714, 0, 0.575876, 0.38498, 0.43022, 0.432211, 0.455579, 0.545808, 0.56185, 0.562555, 0.575368
freqs:, 35, 0.5, 0.309524, 0, 0.588052, 0.393084, 0.434578, 0.437598, 0.461887, 0.547074, 0.558288, 0.564547, 0.570234
freqs:, 36, 0.5, 0.333333, 0, 0.600925, 0.401401, 0.439081, 0.443246, 0.468271, 0.54287, 0.552727, 0.562802, 0.574533
freqs:, 37, 0.5, 0.357143, 0, 0.614452, 0.40981, 0.443653, 0.449125, 0.474604, 0.53627, 0.546635, 0.557306, 0.581704
freqs:, 38, 0.5, 0.380952, 0, 0.628589, 0.418146, 0.448186, 0.455199, 0.480717, 0.528975, 0.540594, 0.550034, 0.589734
freqs:, 39, 0.5, 0.404762, 0, 0.643298, 0.426173, 0.452531, 0.461416, 0.48639, 0.521533, 0.534949, 0.542282, 0.597805
freqs:, 40, 0.5, 0.428571, 0, 0.658539, 0.43354, 0.456471, 0.467689, 0.491336, 0.514202, 0.530011, 0.534896, 0.605374
freqs:, 41, 0.5, 0.452381, 0, 0.674276, 0.439712, 0.45971, 0.473828, 0.495211, 0.507252, 0.52612, 0.52863, 0.611822
freqs:, 42, 0.5, 0.47619, 0, 0.690476, 0.443952, 0.461885, 0.479245, 0.497678, 0.50132, 0.52362, 0.524318, 0.616322
freqs:, 43, 0.5, 0.5, 0, 0.707107, 0.445485, 0.462658, 0.481868, 0.49852, 0.498522, 0.522758, 0.522762, 0.617967
freqs:, 44, 0.47619, 0.47619, 0, 0.673435, 0.442197, 0.461573, 0.476775, 0.498991, 0.501776, 0.522879, 0.527275, 0.592692
freqs:, 45, 0.452381, 0.452381, 0, 0.639763, 0.432167, 0.461118, 0.466112, 0.500074, 0.507222, 0.52318, 0.538479, 0.597873
freqs:, 46, 0.428571, 0.428571, 0, 0.606092, 0.417612, 0.452975, 0.462639, 0.501517, 0.512425, 0.523474, 0.552873, 0.586724
freqs:, 47, 0.404762, 0.404762, 0, 0.57242, 0.400843, 0.438185, 0.465586, 0.503123, 0.51694, 0.52339, 0.565266, 0.569484
freqs:, 48, 0.380952, 0.380952, 0, 0.538748, 0.382908, 0.422083, 0.469613, 0.504154, 0.516645, 0.524602, 0.541359, 0.542054
freqs:, 49, 0.357143, 0.357143, 0, 0.505076, 0.364247, 0.404835, 0.47451, 0.500234, 0.501818, 0.507855, 0.507932, 0.516108
freqs:, 50, 0.333333, 0.333333, 0, 0.471405, 0.345057, 0.3865, 0.47428, 0.474345, 0.474515, 0.476868, 0.480496, 0.495301
freqs:, 51, 0.309524, 0.309524, 0, 0.437733, 0.325425, 0.367067, 0.441074, 0.441229, 0.443161, 0.446257, 0.466322, 0.469797
freqs:, 52, 0.285714, 0.285714, 0, 0.404061, 0.305381, 0.346474, 0.407753, 0.408043, 0.411199, 0.41433, 0.435492, 0.44234
freqs:, 53, 0.261905, 0.261905, 0, 0.370389, 0.284918, 0.32463, 0.374504, 0.375006, 0.379004, 0.3822, 0.404977, 0.414271
freqs:, 54, 0.238095, 0.238095, 0, 0.336718, 0.264002, 0.30143, 0.341366, 0.342198, 0.346798, 0.350109, 0.375051, 0.38624
freqs:, 55, 0.214286, 0.214286, 0, 0.303046, 0.242572, 0.276767, 0.308391, 0.309754, 0.314708, 0.318195, 0.345913, 0.358624
freqs:, 56, 0.190476, 0.190476, 0, 0.269374, 0.220536, 0.250544, 0.27567, 0.277892, 0.282847, 0.286579, 0.317808, 0.331737
freqs:, 57, 0.166667, 0.166667, 0, 0.235702, 0.197756, 0.222688, 0.243367, 0.246924, 0.251349, 0.255413, 0.291047, 0.305902
freqs:, 58, 0.142857, 0.142857, 0, 0.202031, 0.174019, 0.193236, 0.211789, 0.217184, 0.220401, 0.224907, 0.266021, 0.271078
freqs:, 59, 0.119048, 0.119048, 0, 0.168359, 0.148978, 0.162443, 0.181518, 0.188938, 0.190299, 0.195389, 0.243204, 0.247623
freqs:, 60, 0.0952381, 0.0952381, 0, 0.134687, 0.122178, 0.130708, 0.153488, 0.161517, 0.162526, 0.167398, 0.223151, 0.226603
freqs:, 61, 0.0714286, 0.0714286, 0, 0.101015, 0.0934044, 0.0983926, 0.128815, 0.134956, 0.138627, 0.14185, 0.206488, 0.208777
freqs:, 62, 0.047619, 0.047619, 0, 0.0673435, 0.0630347, 0.0657424, 0.108691, 0.112187, 0.118649, 0.12032, 0.193887, 0.195039
freqs:, 63, 0.0238095, 0.0238095, 0, 0.0336718, 0.0317209, 0.0329109, 0.0949184, 0.0959621, 0.104835, 0.105307, 0.185995, 0.186306
freqs:, 64, 0, 0, 0, 0, 0, 0, 0.0899049, 0.089905, 0.0998023, 0.0998023, 0.183302, 0.183302
