freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.0921525, 0.0921599, 0.0999374
freqs:, 2, 0.0215054, 0.0107527, 0, 0.0215054, 0.0205975, 0.0211833, 0.0942705, 0.0946237, 0.102088
freqs:, 3, 0.0430108, 0.0215054, 0, 0.0430108, 0.0411349, 0.0423576, 0.100348, 0.101672, 0.108283
freqs:, 4, 0.0645161, 0.0322581, 0, 0.0645161, 0.0615436, 0.0635133, 0.109757, 0.112442, 0.117884
freqs:, 5, 0.0860215, 0.0430108, 0, 0.0860215, 0.0817378, 0.0846391, 0.121775, 0.125982, 0.130136
freqs:, 6, 0.107527, 0.0537634, 0, 0.107527, 0.101608, 0.105722, 0.135798, 0.141499, 0.144361
freqs:, 7, 0.129032, 0.0645161, 0, 0.129032, 0.121022, 0.126744, 0.151397, 0.158412, 0.160034
freqs:, 8, 0.150538, 0.0752688, 0, 0.150538, 0.139849, 0.147684, 0.168294, 0.17632, 0.176773
freqs:, 9, 0.172043, 0.0860215, 0, 0.172043, 0.157998, 0.168514, 0.186278, 0.194308, 0.194951
freqs:, 10, 0.193548, 0.0967742, 0, 0.193548, 0.175458, 0.189197, 0.205151, 0.212463, 0.214111
freqs:, 11, 0.215054, 0.107527, 0, 0.215054, 0.19228, 0.209687, 0.224709, 0.231117, 0.233672
freqs:, 12, 0.236559, 0.11828, 0, 0.236559, 0.208546, 0.229932, 0.244766, 0.250196, 0.253541
freqs:, 13, 0.258065, 0.129032, 0, 0.258065, 0.224332, 0.249875, 0.265178, 0.26965, 0.273649
freqs:, 14, 0.27957, 0.139785, 0, 0.27957, 0.239698, 0.269464, 0.28584, 0.289446, 0.293946
freqs:, 15, 0.301075, 0.150538, 0, 0.301075, 0.25469, 0.288659, 0.30668, 0.309547, 0.314395
freqs:, 16, 0.322581, 0.16129, 0, 0.322581, 0.269343, 0.307436, 0.327649, 0.329913, 0.334967
freqs:, 17, 0.344086, 0.172043, 0, 0.344086, 0.283685, 0.325781, 0.348714, 0.350499, 0.355639
freqs:, 18, 0.365591, 0.182796, 0, 0.365591, 0.297735, 0.343687, 0.369851, 0.371263, 0.376392
freqs:, 19, 0.387097, 0.193548, 0, 0.387097, 0.311511, 0.361148, 0.391044, 0.392166, 0.397211
